{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.5131} 签这个。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.19940} 我为什么要签？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.13333} 我至少能先读一遍吗？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.27138} 这只是例行手续。记录我们这场非同寻常的会面。不必这么紧张。我说过，这里只有一场相互信任、推心置腹的谈话。核对笔录，校准我们各自的说法。您毕竟是科学家。您当然明白，对矛盾的探究会生出真相吧？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.20611} 好。随你。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.16880} 那么，尊敬的学者丹科夫斯基。让我们剖开您在镇上的第二天吧。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.13827} 请便。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.6263} 我这么理解没错吧：那一天，您已经意识到一种致命瘟疫的威胁……呃……
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.646} Yersinis pestis arenae。要我给您拼出来吗？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.15901} 一个字母一个字母地拼？真可爱……您觉得这样它就会失去力量？
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.20984} 不，我没有这种幻觉。他们那些巫术仪式和迷信还没钻进我的脑子。十二天还不够……
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.11857} 倒也未必。我别的法子都试过了。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.30346} 这种疾病还没有正式名称。正如您一小时前亲口说过的，它尚不为科学所知。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.17286} 无妨。要紧的是，您意识到镇上已有疾病，却没有采取任何措施阻止它扩散。
{ArchiveDialogs.Day2.Day2_Q0_Interrogation.Day2_Q0_Interrogation.12224} 嗯哼。那我现在必须问一句：您懂哪怕一点细菌学吗？
