{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.1} 哎呀，贵客来了！听着，医生，我好奇得很：你这片镜子似的东西——到底是什么玩意？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.2} 这是给医生用的器械。我可以解释很久，但现在没时间。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.5} 我们这儿也有各式各样的发明家。靠我们吃饭，靠铁器吃饭。跟这种人打交道不容易，可自己人不能丢下。怎么样，在我们这小城里，琢磨出点滋味没有？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.11} 我不明白这番话的用意。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.14} 这样啊……是谁给你的权力封城？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.17} 我没听懂。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.19} 别装傻。你们在首都活得像老爷，我们在这儿卖命。那趟该死的火车，我们等得像等天降恩粮，见鬼。孩子们都快对着铁轨念咒了。那火车里有水、煤气、肥皂、破布、锅碗瓢盆——这些东西，你熟吧？没有它们你能撑多久，混账剖骨匠？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.21} 火车怎么了？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.22} 你因为沙疫封了城，现在还会有多少火车开来找你？哈，好事可真漂亮。那么你自己来干什么？想溜？你这狡猾东西，就跟我们一起烂在这儿吧。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.23} 请你注意措辞。我来这里，是为了试着拯救那些你称作“自己人”的人。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.25} 你要是特蕾莎修女，那我就是妮娜·凯恩了。别磨蹭，你到底在这儿嗅什么？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.27} 格里戈里，对吧？听我说，黑心肝的。彼得几天前藏起来了。他不能独自在城里移动。必须放出风声，说他已经坐最后一班火车走了。这样才不会有人想到他还在这里。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.28} 你拿什么付这份请求的账？
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.29} 说个价。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.31} 你还有用。行，彼得的事我来处理。你别往皮底下钻，滚吧。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.33} 祝安，格里戈里。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.34} ...
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.35} 你迟早还得谢我。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.30} 我会派上用场的，别担心。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.24} 你不让我把话说完。你们那个彼得，建筑师，有危险。我想谈的就是他。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.18} 你们所谓的统治家族任命我负责。我宣布了隔离。流行病形势要求更严厉的措施，隔离只是第一步。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.12} 你们这座城连工具都没有。也许你们根本不设目标。这是你们的社会特征。停滞。甚至是退化。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.13} 首都的生活也很艰难。你们关于它的一切想法都是偏见。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.3} 这是视镜。我的发明。它能看见空气中的感染源。
{ArchiveDialogs.Day3.Q1_GriefHidesPetr-Copy.4} 你为什么对我本人这么感兴趣？
