{ArchiveDialogs.Day3.Q1_Petr.1} 陪我喝一杯吧，朋友。
{ArchiveDialogs.Day3.Q1_Petr.2} 那好，来吧。
{ArchiveDialogs.Day3.Q1_Petr.5} 酒保向他问好，叫他彼得。他把两只小酒杯放到柜台上，倒满黏稠的粉红色液体。彼得把自己那杯一饮而尽。
{ArchiveDialogs.Day3.Q1_Petr.6} 人人都说twyrine（特维酒）会让感官变敏锐。可我觉得它只会让听觉变敏锐，你怎么看？
{ArchiveDialogs.Day3.Q1_Petr.7} 得先尝过再说。
{ArchiveDialogs.Day3.Q1_Petr.8} twyrine（特维酒）味苦，带着草原的气味。它上头得厉害，四周的人声和噪音化成了一股陌生旋律的流。
{ArchiveDialogs.Day3.Q1_Petr.10} 怎么样，听见这座城在响了吗？像有人从远处呼唤，从戈尔孔河岸……或者，也许是从冥河？
{ArchiveDialogs.Day3.Q1_Petr.11} 是，好twyrine（特维酒）。
{ArchiveDialogs.Day3.Q1_Petr.14} ——贵是贵了些，不过以我的职业，还喝得起。来，再替我喝一杯。
{ArchiveDialogs.Day3.Q1_Petr.16} 彼得身边已经有三只空杯。他的眼睛悲伤，蒙着雾。
{ArchiveDialogs.Day3.Q1_Petr.17} ——你是什么职业？
{ArchiveDialogs.Day3.Q1_Petr.18} 建筑师。确切地说，曾经是。现在我只是，建筑师的影子。
{ArchiveDialogs.Day3.Q1_Petr.19} 我也一样，只不过我是医生的影子。
{ArchiveDialogs.Day3.Q1_Petr.20} 他笑了。
{ArchiveDialogs.Day3.Q1_Petr.21} 不，朋友，人不能停止当医生。那是手艺。手艺人在工作中打磨技艺，只会越来越好。而创作者会耗尽自己的灵魂。我就是耗尽了。
{ArchiveDialogs.Day3.Q1_Petr.22} 耗在什么上？
{ArchiveDialogs.Day3.Q1_Petr.23} 看见河对岸那栋巨大的建筑了吗？多面体。美，甚至不可思议。看来我的整副灵魂真都进了它里面。
{ArchiveDialogs.Day3.Q1_Petr.24} 是，我见过你的多面体。它到底怎么可能存在？
{ArchiveDialogs.Day3.Q1_Petr.25} 这个问题显然戳到了痛处：彼得像疼痛似的闭紧眼睛，用双手抵住额头。
{ArchiveDialogs.Day3.Q1_Petr.27} 我不知道怎么做到的。好像那不是我做的。过去的建造者会被刺瞎双眼，好让他们不能重复自己的杰作。也许也有人把我弄瞎了。
{ArchiveDialogs.Day3.Q1_Petr.28} 他紧绷地沉默了几秒，然后叹了口气。
{ArchiveDialogs.Day3.Q1_Petr.30} 怎么说来着……‘啊，朋友，我知道你不同，在你眼里，人和石头里都没有灵魂’……对了，你叫什么？
{ArchiveDialogs.Day3.Q1_Petr.31} 我只是没醉得像你这么厉害。我是丹尼尔·丹科夫斯基。念得出来吗？
{ArchiveDialogs.Day3.Q1_Petr.32} 就是你！我知道，兄弟跟我说过。抱歉，我在胡言乱语。顺便说一句，我是彼得·斯塔马京。曾经在那边……在首都，也算有名。
{ArchiveDialogs.Day3.Q1_Petr.33} 最后一口酒下去，对方的脸亮了起来。
{ArchiveDialogs.Day3.Q1_Petr.35} 幸会。
{ArchiveDialogs.Day3.Q1_Petr.36} 我已经够了。你也是。
{ArchiveDialogs.Day3.Q1_Petr.37} 是。为你喝一杯？
{ArchiveDialogs.Day3.Q1_Petr.54} 彼得忽然把已经举起的酒杯放回去，僵住了。他带着惊喜低声说：
{ArchiveDialogs.Day3.Q1_Petr.58} 听见了吗？多面体今天又在河对岸呼唤。多么珍贵的话语……
{ArchiveDialogs.Day3.Q1_Petr.59} 看来你上头了？
{ArchiveDialogs.Day3.Q1_Petr.62} 彼得像是已经注意不到我。他盯着墙，低声哼着什么。
{ArchiveDialogs.Day3.Q1_Petr.60} 幻、幻觉。你们这twyrine（特维酒）真危险……
{ArchiveDialogs.Day3.Q1_Petr.61} 是，我听见了些……远处有千百支歌，可我分不清哪一支是谁的。
{ArchiveDialogs.Day3.Q1_Petr.50} 灵魂当然有，只是我不喜欢这种创作上的悲情腔。
{ArchiveDialogs.Day3.Q1_Petr.51} 从病理解剖学看，灵魂可以连同肝脏一起从人身上取出来；可活着的石头，我倒从没见过。
{ArchiveDialogs.Day3.Q1_Petr.48} 我这几天似乎也把灵魂耗掉了。假如我原本有的话。但活还得继续做。
{ArchiveDialogs.Day3.Q1_Petr.49} 也许你只是变懒了？
{ArchiveDialogs.Day3.Q1_Petr.52} 我从来就不是个真正的医生。
{ArchiveDialogs.Day3.Q1_Petr.53} 耗在酒上？酒瘾和创作无法相容。这是常识。
