{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.21150} 你——当然，请恕我直言——一次又一次试图欺骗我。一次又一次！我当然无权禁止你说谎——errare humanum est（人非圣贤，孰能无过），而且人也可以，怎么说呢，有意地犯错……但就形式逻辑而言，你一直在喂给我的东西，只能称作“虚假”。更不用说，你还试图和这些……凯恩家的人解决某种私人问题，而不是立刻恪守你的希波克拉底誓言！
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.14223} 我从不说谎。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.13441} 你拒绝了卫生总监察官的职位。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.19000} 那不是这个名字。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.18088} 你承认关于西蒙·凯恩的一切对你来说不过是个借口吗？有人决定关闭你的实验室，于是你逃避责任，溜到这天涯海角，把你那染上瘟疫的孩子丢给同僚处理。让他们替你面对后果。真是可以预见的结局！船长第一个弃了下沉的船，对吧？
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.4302} 你想不想脸上挨一拳？
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.3248} 让我们回顾初步结果。你知道疫情存在。然而你没有采取任何措施阻止它。有人提出由你领导本镇控制……局势的工作。你清楚明白这些人的能力水平，也清楚完全缺乏适当手段，却仍然抛弃了他们。这就像一个成年人把幼童丢在险境里。你没有帮忙，反而去追求某些个人插曲。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.10945} 不。那不是什么插曲。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.5411} 挖尸体那出胡闹又是怎么回事？你为什么亵渎……等一下……空白商铺工头、装订总管西利乌斯·梅任的墓？他到底是谁？你需要他做什么？
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.590} 嗯……那是另一个故事。你准备听吗？
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.14349} 好。拿张纸，把这一切写下来。另起一段。开头这样写：“我承担全部责任”。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.2545} 我看穿你的把戏了。本来可以让你也从同一副牌里给我发几张，好让局面公平些，可抱歉，我太累了。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.18787} 西蒙·凯恩确实存在过。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.19404} 没错。从来没有什么西蒙·凯恩。但那时我并不知道。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.20687} 我在这座镇上的“职位”就是偶然来访者。你能理解吗？我从未欠他们任何义务！
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.9336} 那是谎言。我承担了全部责任。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.12708} 人人都说谎。你现在也在对我说谎。
{ArchiveDialogs.Day3.Day3_Q0_Interrogation.Day3_Q0_Interrogation.17178} 你懂拉丁文？当然，法学院会教这个……
