{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.11472} 怎么？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.5209} 鲁宾在哪儿？他出了什么事？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.25972} 啊，现在你倒想知道了，是吧。要是你真在乎，你早就知道了。你去哪儿了，丹科夫斯基？小镇正在死去，而你在做什么？你们这帮法利赛人里，只有鲁宾真想救这座小镇。结果他得到了什么？死亡。殉道。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.16405} 我读过殉道者的事。他们把圣莱昂提乌斯绑在木桩上，想烧死他。你知道他做了什么吗？他开始祈祷，而且祈祷得那样炽烈，喉咙里一条动脉都爆开了，血把他脚边的火浇灭。处刑人气坏了，只好把他解下来，干脆砍掉他的头，以防万一。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.18140} 你为什么提这个？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.29055} 我只是喜欢那些战胜死亡的故事。哪怕是这种离奇得不像话的传说。我希望鲁宾的结局也同样光荣。告诉我，究竟发生了什么？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.30277} 有人告诉我，他是最后见到西蒙的人。是真的吗？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.32330} 鲁宾在做必须做的事。他本可以救下所有人。如果没人碍他的事，他就能做到。现在一切都完了。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.4197} 给你出个谜语，影子。什么东西连最大的煮锅也装不下？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.31789} 又是你那些蠢谜语。连我都知道这个。是那口煮锅的锅盖。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.10311} 错。正确答案是鲁宾的自命不凡。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.12077} 拿死人取笑？真该羞愧。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.3231} 我有这个资格。我和死亡是老相识了。你能不能正经告诉我鲁宾出了什么事？别再发疯似地嚷。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.12148} 去问格里夫，他知道。格里夫是唯一真正在乎的人。唯一想帮忙的人，虽说也没什么用。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.20327} 格里夫？啊，当然，我听说过他。管着仓库。向奥尔金斯基听命。他应该就在附近。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.11026} 格里夫？啊，当然，我听说过他。本地的亡命徒。我倒想知道，鲁宾会跟他有什么牵连。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.13513} 哪些人？谁碍了他的事？把名字说出来。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.5742} 你能不能说清楚点？别说那些戏剧化的、雾里看花的空话。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.21708} 你是在叫一个影子别再雾蒙蒙吗？
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.8870} 我已经明白，只能靠我自己把一切查清楚。你至少可以告诉我从哪里开始。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.12619} 你知道吗，我认识的某个人曾说过，就算把鲁宾的头砍下来，他还会继续骂上一个礼拜，说我们所有人都背叛了他，害了他。我当时笑了，结果现在看来，那根本不是玩笑。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.13495} 我连自己在做什么都不知道。一切都像某种愚蠢的梦。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.32323} 那你可当心点。这种梦往往到最后才发现，做梦的人从头到尾都没穿裤子。别忘了检查一下。
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.17288} 我必须弄明白西蒙·凯恩出了什么事。西蒙·凯恩究竟是什么。鲁宾是通向他的一根线。而他死了……
{ArchiveDialogs.Day4.Shadows_Rubin_KilledByKainsDay4_GoToGrif_CurrentDay.24431} 必须有人救这座小镇。我相信鲁宾一定留下了某些研究。
