{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.27445} 问题是……钟到底敲了几下？我一定漏听了。十四下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.4653} 谁在乎钟声？这又不是布谷鸟钟！难道你真指望它给你造出更多小时？更多天？见鬼，它不会！
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.25269} 不，它确实会增加小时。但只给那些有胆子进去的人。这可是公认的事实。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.26562} 它什么也不增加，只会扣减！每次人们聚在这里，总会为同一件事争吵——一遍又一遍。我告诉你，它在扣减时间！
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.25672} 嘿……你们是在说大教堂，对吧？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18361} 他是外人，什么都不懂。大教堂鸣钟的时候，就是在铸造时间。来吧，女士，问你的问题。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.23464} 问题是……钟响了多少下？我一定错过了。十四下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.2643} 您是来检查这里的，对吧？请便，但进去的时候小心。有过这么一个人——进去时是男孩，出来时成了老人。有时会这样。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.4112} 别听他的。没什么可担心的。事实上，你还会得到些多余的时间。天、小时、分钟——看你的运气，也看人。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.29596} 你们都是认真的？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.18342} 它鸣钟的时候，会把里面的一切打成一个结。然后事情就会发生。我告诉你，有个人进去时还是孩子，出来就成了老头。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.14683} 据说它能改变一个人的时间。我有个邻居进去过。现在他说他的一天只有二十小时，而不是本该有的二十六小时。我觉得他说得对……那人现在就是不对劲。他活得更短了。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.4276} 或者你会被套进循环。活十分钟——然后重新开始，一遍，一遍，又一遍。
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.19782} 问题是……钟响了多少下？我一定错过了。十四下？
{ArchiveDialogs.Day4.Day4_Q4_CathedralInspection.Day4_Q4_PolylogueWithTheCrowd.8612} 不是十四下。不，至少四十下。
