{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.3349} 哎，您怎么站在水流逆处？……哎，得偿所愿了吗？不心疼别人的力气吗？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.23941} 您再在冷地上坐下去，就会有病程给您看。外头正隔离呢，亲爱的。回家去。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.29584} 等等。您难道不知道，思绪的流向不能打断。您自己想必每天也至少思考一次，饭前。我现在就思考，然后饮用，饮用我勤勉的果实。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.27472} 你想用意念把空瓶子灌满？你神智正常吗？来，让我看看你。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.30225} 您为什么要和形象思维作战？既然您能想象一个形象，那它就是自然的。而如果您，尊敬的先生，别再挡住流向，瓶子很快就会装满涩口饮料——我在照料这事，照料得很。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.1761} 幻想什么都可以。还没有哪个人真能用意念把瓶子装满。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.3868} 人是最强大的创造力。而您屈服于最恶毒的内在敌人——愚蠢。您站在这里抗拒新的经验，只会让您的愚蠢更加坚固。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.29996} 你是在建议我坐到旁边？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.28346} 现在，过去是您最可怕的敌人，是挡在您路上的庞大怪物。但它很蠢，因为您什么都不知道。和您的过去作战吧。坐下。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.666} 这是玩笑，亲爱的。我不会替你辩解。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.3569} 可惜。为一切违逆您贫瘠本性的东西辩解，只会让您的内心更丰厚。闲时试试。现在让我把思绪化成涩口饮料吧。渴得折磨人！
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.6207} 你对于一个戒断病人来说太快乐，对于一个理智成年人来说又太着魔。我该拿你怎么办……
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.30747} 我认为你只是在胡闹。回家去，否则我派勤务员来带你走。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.10975} ...
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.8666} 想必您是在这里坐到开悟了？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.3754} 您以为容易吗？知道道路和走上道路不是一回事。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.25146} 没错。既要知道道路，也要知道可信的走法。可您看起来不像能清醒思考的人。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.28718} 你饿了吗？你看起来很虚弱。不开玩笑，你在这里坐多久了？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.31607} 创造者必须饥饿！
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.2412} 什么创造者？你坐在空瓶子对面——指望创造什么？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.19715} 看看你自己：站都站不起来，却对着瓶子祈祷。不羞愧吗？
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.22707} 向维纳斯祈祷才羞愧。我不羞愧。
{ArchiveDialogs.Day4.Day4_Streetscenes.Day4_Streetscene_Telepathy.8450} 起来，回家去。
