{ArchiveDialogs.Day5.Shadows_TimeTravel.2940} 滴答，滴答。
{ArchiveDialogs.Day5.Shadows_TimeTravel.18865} 告诉我，只有我一个人能看见你们吗？还是别人也能看见？
{ArchiveDialogs.Day5.Shadows_TimeTravel.13799} 这重要吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.23076} 重要，为了诊断。如果只有我看得见，而又假设这不是精神分裂——那我到底有什么特别的？你们又为什么缠着我？
{ArchiveDialogs.Day5.Shadows_TimeTravel.13945} 又是你。你以后要一直缠着我了吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.2147} 到底是谁缠着谁，这才是问题。我不过是站在这里，安安静静抱着个钟。是你先跟我搭话的。滴答，滴答。
{ArchiveDialogs.Day5.Shadows_TimeTravel.6005} 你为什么把它抱得这么紧？它有什么特别的吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.312} 你为什么这样死死抱着这座钟？
{ArchiveDialogs.Day5.Shadows_TimeTravel.16327} 哦，你该仔细看看。静水观星台里有一座和这个一模一样的钟。用它，你可以从一天“跳”到另一天。
{ArchiveDialogs.Day5.Shadows_TimeTravel.7045} 你说的“跳”是什么意思？这座钟——有什么特别的吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.9106} 一点也没有，跟所有钟一样普通。不过你可以拿它做些不普通的事。只要去静水观星台，选一天，咔哒——你就会在那一天醒来。
{ArchiveDialogs.Day5.Shadows_TimeTravel.12173} 这到底他妈是怎么运作的？！这简直像是某种梦的逻辑，可一切偏偏又都真实得要命。要是最后发现这果然只是一场梦，我会非常失望。
{ArchiveDialogs.Day5.Shadows_TimeTravel.26462} 这到底他妈是怎么运作的？！你的意思是，我现在可以随心所欲地改换自己所在的日期了？我这是被困在某种时间循环里？
{ArchiveDialogs.Day5.Shadows_TimeTravel.27498} 这到底他妈是怎么运作的？！那是不是意味着我现在可以改写过去了？以前我可不知道自己还有这本事。
{ArchiveDialogs.Day5.Shadows_TimeTravel.23486} 这重要吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.11306} 嗯，我也说不好。总觉得现在好像什么都不重要了。像是我把自己弄进了一个夹缝地带，一切都在打转，却没有出口。
{ArchiveDialogs.Day5.Shadows_TimeTravel.15309} 没什么斗志啊，学士。看看你——才过一天，你就已经要放弃了？告诉我：你来这里的目的是什么？
{ArchiveDialogs.Day5.Shadows_TimeTravel.22150} 我猜你知道。我是来见西蒙·凯恩的，可我来晚了——他已经死了。
{ArchiveDialogs.Day5.Shadows_TimeTravel.13837} 冷。
{ArchiveDialogs.Day5.Shadows_TimeTravel.10656} 我不知道影子也会觉得冷。
{ArchiveDialogs.Day5.Shadows_TimeTravel.30393} 你想搞明白自己身上到底发生了什么。可眼下，你只是冷。再试一次。你在哪里？这是什么地方？
{ArchiveDialogs.Day5.Shadows_TimeTravel.9151} 不知怎么的，我总觉得自己同时身处好几个地方：好像我一边在首都就当天发生的事作陈述，一边又站在这里，在这一刻亲手促成那些我正在那边讲述的事情。现在又发现，我还能从一天跳到另一天。那——这一切该怎么理解？
{ArchiveDialogs.Day5.Shadows_TimeTravel.629} 你在说什么？天气不是挺好吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.4499} 重要。我是个科学家，我想明白万事万物背后的结构。显然，我是被困住了——可困在哪里？是在这座城里，还是在关于它的记忆里？我觉得自己仿佛同时身处数地：一边在首都就当天发生的事作陈述，一边又站在这里，在这一刻亲手促成那些我正在那边讲述的事情。现在又发现，我还能从一天跳到另一天。那——这一切该怎么理解？
{ArchiveDialogs.Day5.Shadows_TimeTravel.6061} 你越来越接近了，学士，真的很接近了。“同时”这个词，正是关键。多想想它。你的问题在于，你仍把时间理解成一段线，所以才觉得自己“被困住了”。可事实上恰恰相反——你比任何时候都自由。你同时在这里，也在首都的审讯室里；同时在明天，也在昨天。
{ArchiveDialogs.Day5.Shadows_TimeTravel.15407} 原来你就是这样：我向你要一点清楚的解释，结果你给我的却是烟幕和障眼法。
{ArchiveDialogs.Day5.Shadows_TimeTravel.27826} 哎呀，哪来的烟幕，哪来的镜子？我手里不就是个钟吗，你看不见？
{ArchiveDialogs.Day5.Shadows_TimeTravel.13048} 我看得见，我看得见。
{ArchiveDialogs.Day5.Shadows_TimeTravel.18804} “咔哒”什么？为什么我总觉得你不是在跟我说话，而是在对另一个人说？
{ArchiveDialogs.Day5.Shadows_TimeTravel.1961} 也许我<i>确实</i>是在对另一个人说。不过，这座钟你还是要用。
{ArchiveDialogs.Day5.Shadows_TimeTravel.2782} 能问个问题吗？我还有别的超自然能力吗？比如透视眼？或者隐身？我想要会隐身。能安排一下吗？
{ArchiveDialogs.Day5.Shadows_TimeTravel.22396} 你不需要透视眼，更别说隐身。光这座钟就绰绰有余了。
{ArchiveDialogs.Day5.Shadows_TimeTravel.26816} 现在竟然轮到死人的影子来教我时间旅行了。看来我的脑袋果然还是该查一查。
{ArchiveDialogs.Day5.Shadows_TimeTravel.7675} 先把你的脑袋放一边，行吗？别老盯着自己。去用那座钟。
{ArchiveDialogs.Day5.Shadows_TimeTravel.28059} 你为什么老提这座钟？它真的……有什么特别的吗？
