{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.18720} 怎么，打算对我冷处理？这沉默开始有点尴尬了。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.18480} 我在找这地方的主人。姓斯塔马京——你有印象吗？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.13498} 已经没有什么斯塔马京了。恭喜啊，医生！我看你现在应该挺高兴的吧。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.26736} 困在一座正在死去的城市里，跟死人的影子说话。在这儿，“高兴”似乎不是个最合适的词。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.393} 所以这城平白无故就在死掉？无聊死的，还是怎么着？少装可怜了，你这混账。认命吧，学会为自己的决定负责。像个男人点。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.19338} 你想让我给你来一拳吗？或者该打你那张用来充当嘴的地方，我也说不好。像你这种真正的“男人”，到底是怎么死的，嗯？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.14710} 真有意思。一个无性别的影子来教我怎么做男人。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.1785} 你喝醉了吗？什么决定？你到底在胡说什么？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.29465} 这一点我已经猜到了。不过你能不能多说点？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.9729} 我能问问，我该高兴什么吗？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.13991} 哦，你可真是天底下最好笑的人！那道法令是谁下的，嗯？反正肯定不是我。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.17819} 有人跟你说过吗，你这人说起话来无聊透顶？跟一堆砖头聊天都比跟你有意思。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.21389} 我很确定我从没发布过什么“法令”。我可能丢的是理智，但肯定不是记忆。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.24576} 什么法令？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.1154} 你这身可真利索啊，影子。黑色很衬你的脸。或者说，衬你那张姑且算脸的东西。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.28661} 你觉得这很好笑吗？真的吗？现在人们因为你的法令在死，你不觉得这根本不是开玩笑的时候吗？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.25625} 人会死于疾病。也会死于年老。有时候还会死于愚蠢。但只有在独裁制度下，人们才会死于法令。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.22055} 你一定搞错了，影子。我从没发布过任何法令。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.15040} 别装傻了，学士。你来到这里的第三天，市政厅就收到了强制接种法令。而且执行得一丝不苟、吹毛求疵。安德烈向来最有胆量，他第一个自愿站出来。后来又有更多人跟上。于是全城就开始一个接一个地咽气……
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.25883} 这简直是个奇迹：明明没有疫苗，却有强制接种的法令。我最好去市政厅看看，还有什么以我名义上演的奇观。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.22285} 我没有发布过任何法令。我什么都没做……
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.15038} 你是说我来这儿的第三天？知道了。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.14192} 什么法令？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.23826} 所以，斯塔马京死了。这就是玛丽亚想让我看到的全部吗？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.29086} 你还想看更多？大学那会儿，你替他从大腿里挖子弹那次呢。还记得第二天早上你手抖成什么样吗？可抖了，那会儿你还没什么经验。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.22339} ……仔细想想，我其实不想看更多了。可我现在该怎么办？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.17189} 所以果然是<i>那个</i>斯塔马京？就是当年学生时代差点把院长炸上天的那个？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.1437} 要么是他，要么是他双胞胎兄弟。看你站在哪边说。
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.3100} 到底是谁害死了他……？
{ArchiveDialogs.Day5.Andrey.Shadows_Andrey_VaccinatedDay3.18114} 我怎么想并不重要。我从来没否认过人会死这一事实。可他死了，并不等于整座城明天就要死。
