{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14871} 怎么，不打算说点什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.25783} 我刚才走神了一下。你有当眼睛用的洞，也有嘴，可没有鼻子。所以我在想，影子能闻到味儿吗？这地方闻起来像湿狗。你闻得出来吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.5007} 这是死亡的味道。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14246} 嗯——不，我知道死亡是什么气味。我能轻易分出它和湿狗身上的臭味。这里出了什么事？有人在这儿被杀了？为什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.7954} 嗯，不。我知道死亡闻起来是什么味，我也分得出它和湿狗味的区别。我在猜的是，格里夫身上穿的是这两种香味里的哪一种。怎么，影子，有答案吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.27619} 我在找恶人格里夫。你知道他在哪吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.15218} 格里夫没了。咽了最后一口气。更准确地说，是流尽了最后一口血。看见那边那块污迹了吗？那就是他剩下的东西。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.18844} 嗯。这血迹很小，也没有喷溅。说明没伤到动脉。墙上也有拖痕。格里夫是扶着墙滑到地上的。血太黑了。可能伤到了肝。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.19367} 发生什么了？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.21356} 你挨过侧腹一刀吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.6511} 有过一次。我大学里有位脾气很坏的解剖学教授。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.16476} 这是个套话问题吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.31046} 不是。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.3033} 好吧，格里夫侧腹挨了一刀。但真正丢脸的还不是这个。格里夫曾无数次想象过自己会怎么死。可当那一刻真来了，你知道他对死亡说了什么吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.20041} 等等。我想听更详细一点。我能理解为，你现在是在某种来世里跟我说话？那地方怎么样？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.17839} 你真想知道？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.5566} 我一生都在研究死亡。你说我想不想。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.601} 冷，黑，空。里面什么都没有。什么都没有。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.8735} 你这描述更像死亡学院的冰柜，不像死亡。你能不能稍微再展开一点？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.4802} 格里夫死了还没多久。这就是他目前对死亡全部的发现。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14253} “没多久”是多久？他是什么时候死的？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.4976} 可那边总有些什么吧？在死亡的界线后面？你就是从那里跟我说话的，对吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.6583} 可你就是个东西。而且你在跟我说话。这就说明它不可能是完全空无一物。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.18583} ……不错，丹尼尔。当然，这连一步都算不上。但你是在往前蹭。总有一天，我们也许能真正谈一场，先生。\n不过今天你需要的是格里夫。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.31840} 可他已经死了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.26520} 你刚才那句“先生”是从哪儿冒出来的？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.3643} 你在说什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.16227} 我刚才一瞬间觉得，好像不是你在跟我说话……算了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.8531} 让我猜猜。“其余皆是沉默”？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.10193} 我都不敢想象。什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.22335} “哎哟。”他说的是“哎哟。”临死时他就挤出了这么一句。怎么样，这遗言够不够精彩？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.22221} 绝了。可以收进遗言集了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.28441} 我听过更糟的。我有个病人，笔掉了，弯腰去捡，突然咳嗽发作，当场就死了。他的遗言是“该死！”。还有一个人说：“我可真是很久没喝过香槟了”，然后转向墙壁，就这么去了。什么死法都有。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.15599} 丢人。你一辈子思考死亡，为它做足准备，结果真到你那一刻，却只是两个不入流的打手……连场像样的搏斗都没有。就是一刀，俗不可耐。地毯也可惜了，是条好地毯。可现在因为这块血渍洗不掉，只能扔了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.2799} 如果你愿意，我可以告诉所有人你是像头狮子一样战死的。现在请别再抱怨了，告诉我，你是什么时候死的？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.14714} 这还是我第一次见到，有人对自己死亡的“方式”比对死亡本身还更耿耿于怀。别这么难过。死亡总是丑陋又难堪。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.3959} 他们来找你的时候，你进城已经第四天了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.17466} 所以格里夫死在第四天。换句话说，我又走进死胡同了。这该死的城到处都是死胡同。那我现在怎么办？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.24766} 我知道。我撞见了他们，跟他们掏心窝子聊过了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.18579} ……别告诉我，格里夫也死了。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.15464} 有意思。我要是死了，身后也会立这么一个影子吗？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.9045} 这好查。你去卷进一桩险事，找几个可疑人物，许他们点什么，之后他们就会拿刀捅你。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.4297} 所以，他是被杀的，对吧？你站在这里替代的那个人？被刀捅了？为了什么？
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.9329} 哪有什么为了什么！想帮人，结果自己血流干了。不做好事，就不会肋下挨刀。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.26588} 少拿话绕我。没人会无缘无故动刀。
{ArchiveDialogs.Day5.Grif.Shadows_Grif_StabbedDay4.17558} 你这么说，是因为你从没挨过刀。院子里长大的人都知道：刀是懦夫的武器，伸手摸刀不是因为力气太足，而是因为无能为力。
