{ArchiveDialogs.Day6.Q1_EvaPrologue.111} 早起的袜子清鼻子，晚起的眼睛睁不开。
{ArchiveDialogs.Day6.Q1_EvaPrologue.112} 什么袜子？
{ArchiveDialogs.Day6.Q1_EvaPrologue.114} 你睡得太少了。睡不够，思路就乱。你这种混乱甚至会传染别人。自从你住到这里，我整个人里面也全乱了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.116} 我不能睡，伊娃。
{ArchiveDialogs.Day6.Q1_EvaPrologue.119} 你喝这个，柠檬草加柠檬。能醒神，只是理不清脑子。
{ArchiveDialogs.Day6.Q1_EvaPrologue.208} 集中精神，回答我的问题：你们的西蒙是什么时候死的？
{ArchiveDialogs.Day6.Q1_EvaPrologue.122} 集中精神，回答我的问题：你们的西蒙是什么时候死的？
{ArchiveDialogs.Day6.Q1_EvaPrologue.123} 几天前。我不知道，没数。
{ArchiveDialogs.Day6.Q1_EvaPrologue.127} 好。说正事。我睡着的时候，谁来过我这里？
{ArchiveDialogs.Day6.Q1_EvaPrologue.130} 信使，很多，像往常一样。我知道你在工作，可你看看我们这地板已经脏成什么样了……
{ArchiveDialogs.Day6.Q1_EvaPrologue.133} 信使。总部。隔离。疫苗，宗教裁判委员，还有哪怕一点想法也好……
{ArchiveDialogs.Day6.Q1_EvaPrologue.134} 可怜的你，可怜的你。还有什么压着你？
{ArchiveDialogs.Day6.Q1_EvaPrologue.136} 可怜的你，可怜的你。还有什么压着你？
{ArchiveDialogs.Day6.Q1_EvaPrologue.138} 助手。昨天收了三个新的：塔夫鲁拉，那个女转辙工……莫娜，好像？还有一个快腿。卫生员不够……他们问卷都填不对，更别说识别症状了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.158} 那我能怎么帮你？
{ArchiveDialogs.Day6.Q1_EvaPrologue.159} 只要别问问题。求你。
{ArchiveDialogs.Day6.Q1_EvaPrologue.161} 那就出去做点事。不然我不再跟你说话。
{ArchiveDialogs.Day6.Q1_EvaPrologue.166} 你再听我说一句……
{ArchiveDialogs.Day6.Q1_EvaPrologue.167} 嗯，怎么？
{ArchiveDialogs.Day6.Q1_EvaPrologue.168} 哦！你会说话了。
{ArchiveDialogs.Day6.Q1_EvaPrologue.169} 没什么，我去给志愿者分派任务。
{ArchiveDialogs.Day6.Q1_EvaPrologue.171} 谢谢你的茶。有用。
{ArchiveDialogs.Day6.Q1_EvaPrologue.172} 有人来了？门响了。可千万别又是那些孩子……
