{ArchiveDialogs.Day6.Q2_KondraMona.10} 指挥官...
{ArchiveDialogs.Day6.Q2_KondraMona.11} 等等，我第一个说，你妈妈没有养大你还是什么？医生，我今天需要休息一天。孩子病了。秋季感冒，你知道吗...
{ArchiveDialogs.Day6.Q2_KondraMona.12} 你住在日利尼基，对吗？我要进去检查一下孩子。
{ArchiveDialogs.Day6.Q2_KondraMona.13} 这不值得，医生。就像感冒一样，我不应该了解我的孩子吗？
{ArchiveDialogs.Day6.Q2_KondraMona.20} 那么没关系，你可以工作吗？
{ArchiveDialogs.Day6.Q2_KondraMona.22} 我不能，我没有神经。站在这里的不是我自己。
{ArchiveDialogs.Day6.Q2_KondraMona.39} 你们是志愿者。我没有权利强迫你。
{ArchiveDialogs.Day6.Q2_KondraMona.40} 没有什么。我会给你找一个更简单的任务。
{ArchiveDialogs.Day6.Q2_KondraMona.14} 康德拉特，你们都健康吗？
{ArchiveDialogs.Day6.Q2_KondraMona.15} 指挥官，恕我直言，我家屋顶漏水了，急需补补，不然我们就睡不着了。我们都会变冷。
{ArchiveDialogs.Day6.Q2_KondraMona.16} 所以很可怕吗？
{ArchiveDialogs.Day6.Q2_KondraMona.17} 那又怎么样，医生？孩子可不是开玩笑的。他们会聚在一起，快速修补屋顶，这对于晚上来说就足够了。我是一个母亲——我应该被撕裂吗？
{ArchiveDialogs.Day6.Q2_KondraMona.19} 我要和谁配对？每个人都在自己的角落里瑟瑟发抖。我想在天黑之前独自完成。我请求你放过我一次。
{ArchiveDialogs.Day6.Q2_KondraMona.21} 我们正处于紧急情况。你的论点适合和平时期。
{ArchiveDialogs.Day6.Q2_KondraMona.23} 我说的是实话，指挥官。至少亲自来看看。
{ArchiveDialogs.Day6.Q2_KondraMona.25} 我在撒谎吗？你的妻子如何忍受你。出于友谊，她低声对我说你怎么穿睡衣。哦哦哦，我是一个认真、诚实的人。是的。
{ArchiveDialogs.Day6.Q2_KondraMona.26} 你在说什么...
{ArchiveDialogs.Day6.Q2_KondraMona.27} 医生，法官！他指责我撒谎！
{ArchiveDialogs.Day6.Q2_KondraMona.28} 所以。省得我这些细节。
{ArchiveDialogs.Day6.Q2_KondraMona.31} 好吧，当然，所有的石头都在我身上。你不感到羞耻吗？我是为自己求还是为什么？为孩子着想吧！你是一名医生，你知道生命的价值。
{ArchiveDialogs.Day6.Q2_KondraMona.33} 提醒我是谁派你来的？
{ArchiveDialogs.Day6.Q2_KondraMona.34} 嗯，医生，你要写投诉信还是什么的？我的要求并不高。我不会继续负债累累。
{ArchiveDialogs.Day6.Q2_KondraMona.51} 明天两人都会出现。
{ArchiveDialogs.Day6.Q2_KondraMona.53} 两者都是免费的。我会用其他人代替你。
{ArchiveDialogs.Day6.Q2_KondraMona.54} 莫娜，我不再需要你了。看好孩子。
{ArchiveDialogs.Day6.Q2_KondraMona.55} 康德拉特，我没想到你会这么做。你不用再来了。
{ArchiveDialogs.Day6.Q2_KondraMona.35} 我并不感到羞耻。拜托，不熟。
{ArchiveDialogs.Day6.Q2_KondraMona.29} 请安静。康德拉特，那就拿走吧…
{ArchiveDialogs.Day6.Q2_KondraMona.32} 我不需要它。我希望天黑之前有时间修补屋顶。如果我睡在气流中，我会摔倒很长时间。你看到了我的行动，我是一个认真、诚实的人。
{ArchiveDialogs.Day6.Q2_KondraMona.38} 是的，这是众所周知的。
{ArchiveDialogs.Day6.Q2_KondraMona.30} 委托给您的家人、朋友或邻居。自己去工作吧。
{ArchiveDialogs.Day6.Q2_KondraMona.43} 你们都被需要。如果有人拒绝，第二个将接替他的任务。
{ArchiveDialogs.Day6.Q2_KondraMona.45} 没有人用钳子把你拉到这里。但既然你来得很快，而且我从几个想要的人中挑选了你，现在我就指望你了。
{ArchiveDialogs.Day6.Q2_KondraMona.36} 这就够了。前进。
