{ArchiveDialogs.Day6.Q2_PetrNotDead.1} 还好，你来得真及时。告诉我 - 如果孩子哭了怎么办？
{ArchiveDialogs.Day6.Q2_PetrNotDead.2} 跑步。
{ArchiveDialogs.Day6.Q2_PetrNotDead.55} 黄鼠狼渴望他的墓地。我告诉她——好吧，和我一起去小酒馆吧，至少你会见到人。而她——让我们哭吧。他哭啊哭啊。我问发生了什么事。她：“你还活着。”我说这是谁告诉你的？
{ArchiveDialogs.Day6.Q2_PetrNotDead.27} 你呢？
{ArchiveDialogs.Day6.Q2_PetrNotDead.28} 三天前我就已经陷入了循环。托马是我的邻居，她来找我，唠叨着，救了我——他说，把孤儿从坟墓里带出来，至少你毫无价值的生活会出现一些意义。嗯，有些事情发生了变化。
{ArchiveDialogs.Day6.Q2_PetrNotDead.29} 既然一切都结束了，我们来谈谈多面体。
{ArchiveDialogs.Day6.Q2_PetrNotDead.32} 等等，那我们该怎么办这个女孩呢？也许她有些痛？你是医生，对吧？
{ArchiveDialogs.Day6.Q2_PetrNotDead.33} 带一个青少年去酒吧是极其愚蠢的行为。
{ArchiveDialogs.Day6.Q2_PetrNotDead.36} 我知道我是个白痴…那我现在该怎么办，上吊吗？她把我从死亡中救了出来，也许她也能在那里救我。是的，自从工程竣工以来我就没有住过。别评判我！管好自己的事吧。你到底想干什么，责备吗？你想从我处得到些什么？
{ArchiveDialogs.Day6.Q2_PetrNotDead.98} 我管我自己的事。展示多面体的图画。
{ArchiveDialogs.Day6.Q2_PetrNotDead.99} 为什么需要它？
{ArchiveDialogs.Day6.Q2_PetrNotDead.100} 必要的。
{ArchiveDialogs.Day6.Q2_PetrNotDead.44} 多面体，多面体…好吧，你到底在做什么？我可以告诉你整个过程吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.47} 他还坚持得怎么样？
{ArchiveDialogs.Day6.Q2_PetrNotDead.50} 这不是三分钟就能解释清楚的。尤其对于一个不懂的人来说。
{ArchiveDialogs.Day6.Q2_PetrNotDead.105} 我们都有时间。
{ArchiveDialogs.Day6.Q2_PetrNotDead.106} 这清楚吗？这里？还有这里。这是基础。其核心是杠杆臂。 “给我一个立足点，我就能撬动地球。”
{ArchiveDialogs.Day6.Q2_PetrNotDead.113} …他是钻石做的吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.114} 不，甚至钛也不是。你看，材料在这里。这是计算结果。
{ArchiveDialogs.Day6.Q2_PetrNotDead.117} 也就是带到城下，到达屠宰场？
{ArchiveDialogs.Day6.Q2_PetrNotDead.119} 他们持有相反的一端。这是一块新石器时代的岩石。你知道她的来历吗？
{ArchiveDialogs.Day6.Q2_PetrNotDead.121} 我不擅长地质学。
{ArchiveDialogs.Day6.Q2_PetrNotDead.123} 或许。一般来说，他是不会摔倒的。它可能会更重。正如你所看到的，没有什么魔法。它可能是在法老时代建造的。
{ArchiveDialogs.Day6.Q2_PetrNotDead.124} 与坟墓的相似之处给我们的谈话增添了意想不到的转折。
