{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.3670} 鲸有尾巴，书有叶子，屋有灌木，狗有……狗有……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.3419} 也有尾巴。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19095} 不对，这样不行，不够像歌。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.7395} 我想和你们年长一点的人谈谈。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.15362} 这里的人都比我大，我最小！您想怎么谈？小针很好笑，萨夫卡很聪明，至于卢托克，反正您也听不懂……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19546} 也就是说，现在屋里只有孩子？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19622} 大人们又不知道去哪儿了。真可怜，他们在外面可能会被欧东吃掉。还有劫掠徒到处走，抢走大家的玩具，他们说那些人还会闯进屋里。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.4165} 欧东不吃人。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.28857} 哎呀。那您不是劫掠徒吧？如果是劫掠徒，就走开，我们不许放人进来。玩具藏在哪儿我也不会告诉您，就算您挠我痒痒也没用，我不怕！
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.26981} 小姑娘，我是医生，在治疗你们的老师基拉。她担心屋子里可能有感染源。我能问你几件事吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.4342} 我不是小姑娘，我是小橘子。要是基拉告诉您那个感染源放在哪里，那我们一起找吧。只是我不知道那是什么。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5075} 告诉我，小橘子，你们在这里是怎么生活的？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.22587} 我挺喜欢的。我们都住在一栋房子里，就像一家人！虽然大人和孩子分开住，那又怎样，反正和他们在一起很无聊。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.22011} 最近有人生过病吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.13333} 有时候会。一个人生病，接着另一个也会病。我们彼此有感觉。有一次卢托克脚跟痒，我也痒。只是她是左脚，我是右脚。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.27138} 这是心因性症状。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5539} 我们现在只学过数学，我数得最快！我还会数到一百。一、二、三、四、五、六……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19694} 我信，我信。基拉病了多久？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.5325} 她是开始和大人一起住以后才病的。他们还叫她去参加他们的茶会，说这样能治好，后来她就再也没来了。我以为她永远走了，结果她原来是去治病了。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.26232} 那不算。要是两个人都是左脚，那才算。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.3101} 萨夫卡说这算。他是我们的医生，而您只是说自己是医生。我们怎么知道呢，说不定您是个夏姆拉特骗子？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19623} 过去一周，基拉身上发生过什么不寻常的事吗？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.19627} 如果我告诉您一个秘密，您不会告诉别人吧？
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.13275} 谁也不告诉！
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.2275} 有一次我……可那是偶然的，我一开始不是故意的，后来又实在太好奇，再后来又可怕得不得了，我甚至想跑去找大家，可不知道为什么没跑，现在我特别羞愧，谁都没告诉过……
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.23315} 你可以告诉我，医生会保守医疗秘密。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.7597} 有一次我不小心偷听到基拉和萨夫卡的爸爸吵架。特别大声，好像还有什么东西摔下来了。我什么也没听懂，可他们吼得很吓人……基拉后来有两天都是小声说话。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.20961} 两天小声说话……也就是说，发声困难……丹科夫斯基，你怎么会没想到？看来基拉只是喊得太厉害，把嗓子弄伤了。
{ArchiveDialogs.Hospitals.Hospital_Kira_Mandarinka_First.12536} 后来他们就再也没来往了。我们请基拉来我们的茶会时，她一个字也没提。我又羞愧得要命，不敢问。
