{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.21975} 你们在这里做的事简直无法无天！我要你答应我，不准进我的公寓！
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.1507} 恐怕你的长篇大论来得太迟了。我已经去过你的公寓，也见过你藏着的那个男孩。你没有什么可隐瞒的了。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.10879} 我忍受同事滥用权力已经太久了。忍受他们对本地原住民的不敬也太久了。我甚至还替他们开脱过！可他们差点杀死那个孩子时，我才看清他们就是野兽。我不是英雄。但我不能不救他！你明白吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.23330} 你做了一件体面的事，完全可以为此自豪。现在剩下的问题是你的健康。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.20508} 那是你的选择。我是以医生身份来的，不是法官。那么说正事吧。我有几个问题要问你。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.6811} 好吧，医生。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.11550} 你喝twyrine（特维酒）多久了？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.5062} 你知道本地人的说法。twyrine（特维酒）治灵魂的伤。所以我从在蚁巢工作起就一直喝。那里发生的残酷和不公，已经把我的灵魂磨得破破烂烂。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.30657} 我注意到你只吃最便宜的食物。守卫的薪水真的低到让你吃不起健康饭食吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.31807} 我把拿到的钱几乎都给了屠宰场工人。至少能稍微补偿蚁巢里发生的那些虐待。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.6770} 你房间里有老鼠夹。你家有啮齿动物？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.25672} 而且它们全都直奔我的房间，像蛾子扑火一样。只不过它们是老鼠，我也不知道它们被什么吸引。实际上，它们现在已经大胆到直接爬上我的床了。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.31998} 我在你家找到奇怪的药片。那是做什么用的？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.9648} 退烧。最近几天，拿我来给屋子取暖都够了。可我吞一片药就好了。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.7827} 你邻居说你在浴室里吐了。你多久会恶心一次？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.13015} 整天。没办法。感觉像有人把我从里到外翻出来。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.27717} 我已经了解得够多了。现在可以给你诊断。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.8168} 医生！等等！求你了，我需要你的判断！我只是个听命行事的蠢人。所以我做了一件好事，救了一个男孩的命。现在我该怎么办？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.10873} 你什么意思？我没听懂。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.3464} 你看，他无处可去。我原想把他带回他们的村子，可那里已经没有他的亲人了。我倒想让他留在我这里，可要是守卫发现了，他们会很快收拾掉我。也许你能，怎么说，带他回去？
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.8314} 你担不起责任，所以想把责任推到我身上？你真可悲。走开。
{ArchiveDialogs.Hospitals.Day4.Hospital_Vasiliy.Hospital_Vasiliy_Final.10660} 那男孩可能已经感染。最好还是回隔离区。把他交给我的助手。他会带他去蚁巢。
