{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.28140} 还在这里，学士？
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.2539} 你的服装真让我毛骨悚然。至少把面具摘下来，让我看看你的脸行吗？脸——你有脸吗？
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.1093} 面具是必要的防护。理想情况下，在我们这样的处境里，人人都该戴面具。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.30152} 哇，那画面可真能想象：全镇都戴鸟面具！名副其实的化装舞会。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.15121} 那样会更安全。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.16234} 安全不安全另说，但肯定热闹多了。说不定能把死亡逗笑，让他心情好点。话说回来，你穿着这身衣服在这里晃荡做什么——没更要紧的事吗？
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.31198} 我来告诉你，市政厅有人在等你。而且很急。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.32609} 真的吗？市政厅，你说。好吧，我会去一趟。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.21165} 也未必。没有做过测试。事实上，我们根本不知道你们的面具是否有效。顺便问一句，我去哪儿能弄一个？你们会发吗？我很愿意戴面具。这样日子会轻松很多，街上的人就认不出我了。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.28287} 没有做过测试。事实上，我们根本不知道你们的面具是否有效。顺便问一句，我去哪儿能弄一个？你们会发吗？我很愿意戴面具。这样日子会轻松很多，街上的人就认不出我了。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.29710} 这些全都只是舞台道具。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.3795} 你是说你的面具，还是镇上的整个局面？
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.1132} 看来你并没有太认真看待这些事，学者。可我来这里是办一件重要差事。有人让我通知你，市政厅有人在等你。而且很急。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.17476} 看来我也许该去剧院一趟。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.31951} 首先，去市政厅。那里有人在等你。而且很急。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.5262} 好吧，好吧。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.25705} 你好像并不高兴见到我。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.10898} 还要去哪儿？
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.5636} 有人托我告诉你，市政厅有人在等你。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.7968} 好吧，我会去一趟。
{ArchiveDialogs.NewArchive.Day3_Q2_Bird_GoToAdministration.30109} 是谁托你的？而且——你到底是谁？至少把面具摘下来，让我看看你的脸行吗？脸——你有脸吗？
