{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.19699} 丹科夫斯基！我都不知道该怎么谢你。昨天要不是你，我肯定就完了。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.27799} 你怎么样？脸色可不太好。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.21239} 还成。暂时死不了。算是给我补了几针。我这肋边疼得要命，不过总比这就进棺材强。那话怎么说的？“杀不死你的，只会把你弄成残废”？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.31536} 昨天想闯进你地盘的那帮蠢货说，你骗了他们。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.27770} 我谁也没骗。前几天我答应几个人，给他们弄上离镇的火车。车厢我都备好停在轨上了。还答应给他们弄来车头，可还没等我办成，巡逻队就到了那段铁路，把人全逮了。于是他们就把账算到我头上。可这事真跟我没关系，我发誓。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.15035} 我就一点想不明白：你到底指望什么？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.22927} ……后来照样要你的命，只是多拖一会儿。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.5246} 嘿。不会。这回是我没防住，可同一条河我不打算踩第二遍。我就这点倔劲——我会耐心等着，看我的仇人的尸体像纸船一样从这条河上漂过去。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.2512} 别谢我，谢我的左轮。话说回来，谁捅了你？他们想要什么？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.30530} 我想知道的是，昨天那帮蠢货到底想从你这儿要什么。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.29323} 全是屁话。误会一场。前几天我答应几个人，给他们弄上离镇的火车。我正安排火车呢，巡逻队就到了那段铁路，把人全逮了。那群木头脑袋就跑来，以为我是故意给他们下套。可整件事跟我半点关系都没有。我只是没赶上，就这么简单。要我说，我才是受害者。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.189} 等等，什么铁路？你是说有办法离开小镇？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.25094} 理论上是有……
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.15565} 有意思。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.14789} 你的那套门路我听说了。你该庆幸自己还活着。你就是给人下套了。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.6025} 我可是一片好心！啧，跟你解释这个有什么用。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.9515} 需要被解释的人是你。比如隔离，比如出镇限制。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.13179} 我不信你。反正也不重要。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.18875} 你的人昨天说，你想把人送出城。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_IsGrateful.11738} 是想，没错。可我调火车的时候，民兵跑到区间上，把人全铐了。那几个蛮牛就来了，以为是我故意把他们卖了，可我压根没干。我只是没来得及。要我说，我也是受害的一方。
