{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.18215} 丹科夫斯基！哟，朋友。你没碰巧在外头看见什么可疑的人吧？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.3727} 放松，外头没人了。你怎么样？脸色可不太好。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.20527} 嗯，暂时死不了。他们算是给我补了几针。我这肋边疼得要命，不过总比这就进棺材强。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.9680} 很好。现在我想知道的是：斯坦尼斯拉夫·鲁宾真是你的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.11731} 那帮想结果你的蠢货说，你骗了他们。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.19127} 我谁也没骗。“做好事，流自己的血。”前几天我答应几个人，给他们弄上离镇的火车。车厢我都备好停在轨上了。还答应给他们弄来车头，可还没等我办成，巡逻队就到了那段铁路，把人全逮了。现在他们把账算到我头上。可这事真跟我没关系，我发誓。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.16054} 那你答应了又没办成，该怪谁？……啊，见鬼去吧。回答我：斯坦尼斯拉夫·鲁宾真是你的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.2192} 你怎么这么紧张？躲着一群缠人的仰慕者呢？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.2164} 不，我不觉得我躲过什么。也就是瘟疫、隔离，还有街上的抢劫犯。放在我们这儿，这也不过是个礼拜二。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.28862} 我是认真的。搞不好是生死攸关的问题。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.8292} 冷静，那里已经没人了。我把他们打发走了。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.12239} 你？怎么做到的？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.17512} 好一张会劝人的嘴。他们认定是你故意坑了他们。真相到底是什么，不想说说？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.25542} 靠我的劝说天赋。再加几声枪响。到底怎么回事？你做了什么？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.9350} 你问错了。你该问为什么。答案又是另一个问题：你真是斯坦尼斯拉夫·鲁宾的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.23858} 这么严重？你做了什么？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.8355} 我谁也没骗。“做好事，流自己的血。”前几天我答应几个人，给他们弄上离镇的火车。车厢我都备好停在轨上了。还答应给他们弄来车头，可还没等我办成，巡逻队就到了那段铁路，把人全逮了。现在他们把账算到我头上。可这事真跟我没关系，我发誓。
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.5996} 那你答应了又没办成，该怪谁？……啊，见鬼去吧。回答我：斯坦尼斯拉夫·鲁宾真是你的朋友吗？
{ArchiveDialogs.NewArchive.Day5_Q2_Grif_RubinDeath.18953} 我们什么时候成“朋友”了？
