{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.29648} 你看起来很疲惫，丹科夫斯基。你上次睡觉是什么时候？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.12135} 我记不清了。很久以前。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.20401} 这可不明智。对大脑很有害。会让思绪混乱，记忆断片。过去和现在混在一起，版本和假说与现实交融。我为什么还要向你解释——你自己就是著名的生理学家。你肯定比我更清楚。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.30494} 是的……这正是现在发生在我身上的事。这座该死的镇子会把我逼疯。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.29371} 如今这里爆发了灾难……疫情毁掉了你对这个非凡之地的印象。我们国家没有这样的镇子。也许永远不会再有。一切在这里皆有可能。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.27004} 一切？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.27412} 字面意义上的一切。我是以科学家的身份这么说。以数学家的身份。以过去七年里这里一切生长、建造所依循的那个计划的共同作者身份。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.17540} 但我必须回到我的实验室，回首都。立刻！
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.24279} 但我必须回到我的实验室，回首都。立刻！
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.1851} 为什么这么急？你忘了熄灭壁炉？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.7226} 可以这么说。在我不在那里时，他们正在摧毁“死亡学院”，我的实验室！那些自命不凡的庸才从很久以前就盯上它了！我们的成果吓坏了他们，让他们作呕。现在我明白，这一切一定以某种方式相连。关于西蒙的信。他的失踪。疫情开始，隔离实施……一切严丝合缝，像钟表一样！
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.10563} 丹科夫斯基，我确实喜欢你，真的。无意冒犯，但你是不是高估了自己的重要性？潮汐难道也和你有关吗？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.9865} 我得到消息，说这座镇子里住着一位不死人。准确地说，是一位拥有独特长寿的人。我希望说服他跟我走。理解他。感知他的本质。得到对抗自然死亡之谜的答案……
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.28962} 也为了说服外面所有怀疑者。我说错了吗？你相信那会证明你的实验有价值，也有前途。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.7878} 是的，我原本就是这么想的。甚至不只是想，我对此确信无疑。但我一到这里，就被告知西蒙·凯恩刚刚死去。我想看看遗体，却没有获准接触。现在我明白，这一切都是陷阱。这个西蒙的传说是我无法忽视的诱饵。老鼠自己走进了捕鼠夹。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.28487} 所以这意味着西蒙甚至从未存在过？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.32592} 别笑我。我能理解你的怀疑。但作为科学家，我无法不看出这一切巧合得过分。背后一定有东西！是自然法则？还是阴谋？我一定会查出来。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.17304} 你知道吗，丹科夫斯基，我怜悯你。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.21854} 你知道吗，丹科夫斯基，我怜悯你。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.16936} 我不喜欢被人怜悯。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.12955} 还记得我昨天说过，我们七年前应凯恩家的邀请来到这里吗？那时我们一共九个人：科学家和工程师，专攻很不相同的领域。他们称我们为梦境营造师——“沉睡的建筑师”——不是因为懒惰，而是因为想象力。我们曾绞尽脑汁思考，自己是按什么原则被选中的。后来我们明白：我们都能大胆思考。就像你一样。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.4241} 我会说你是在恭维我。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.30934} 你永远不可能理解西蒙。你也从来没有机会说服他。我想我们的语言里没有词能描述那种状态。这个人跨过了某道界线，而你我甚至无法向那边看上一眼。有一点你是对的。我认为你来到这里确有原因。但那不是阴谋。更像是因果。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.6609} 不，这就是阴谋。我看得很清楚。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.12063} 你还在开玩笑，我能从你眼睛里看出来。谢谢你，尤利娅。你知道吗，你是这里唯一清醒的人。至少是唯一有科学头脑的人。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.21905} 没关系。现在，他已经越过了一道我自己也很快会跨过的界线。但我不会邀请你和我同行，尤利娅。请活得长久。那是件有趣的事。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.4086} 谢谢。我一直以某种科学胆识自豪。但常识才是我的座右铭。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.20338} 而你们建造出了某种丑恶的嵌合体。这样的镇子只会出现在噩梦里。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.402} 谢谢。我还会和它斗上一斗。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.29131} 怜悯我？这又是为什么？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.25420} 这是否意味着，这里有人事先知道这场可怕的疫情？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.13584} 所以你只是被诱到我们这里来了？为了让疫情刚开始时，我们正好有一位著名的博学医生？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.3320} 于是你的敌对同事把你送到这里，好让你成为沙疫的牺牲品？他们确实说这种病不留活口。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.15102} 所以你只是默认他会同意？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.4970} 怎么，你打算在那里研究他？抽血、做腰穿、进行检查？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.1853} 等一下。西蒙·凯恩和这有什么关系？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.25409} 就在这种时候，你离开了自己正在沉没的船？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.23823} 我明白了。在这里，你是外人。在那里，你是人物，是名人。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.9056} 我在这里做什么？
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.21862} 我不太明白你的问题。
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.2639} 告诉我，尤利娅，你有没有经历过——只是谈话，只是在和某个人谈话——然后突然——
{ArchiveDialogs.NewArchive.OldIntro.Intro_Yulia_NoSimon.16246} ——你仿佛从外部看见自己？通过你正看着的那个人的眼睛。
