{Dialogs2.Citizens.Citizens_Man_AndreyDead.31772} 你想干什么？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.7098} 只是路过。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.8580} 你那儿该不会有点酒吧？我是说，烈一点的。镇上越来越难弄到了。我以前常去斯塔马京的酒馆，他人不错，还肯赊酒。现在他死了，那地方也关门了。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.6980} 什么意思？酒馆关门了？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.11985} 开着倒是开着，可那还有什么意思？没了斯塔马京，就没人肯再赊账了，只收现钱。那还有谁稀罕去？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.14493} ……
{Dialogs2.Citizens.Citizens_Man_AndreyDead.27032} 我还想反问你呢。你想干什么？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.5861} 我想找点酒喝。从早上起我就在找能解宿醉的东西。我以前常去斯塔马京的酒馆，他人不错，还肯赊酒。现在他死了，那地方也关门了。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.1437} 你好。有什么消息吗？镇上现在怎么说？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.1270} 你是住在石头底下吗？现在谁都不吭声，一个个像老鼠似的缩在角落里。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.20739} 那你怎么不躲？你不是也在街上晃吗？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.27872} 我刚去过酒馆。以前那地方可痛快了，出手也大方。斯塔马京人不错，还肯赊酒。现在他死了，那地方也关门了。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.20443} 看起来倒没几个人躲着。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.3027} 我以前常去斯塔马京的酒馆，他人不错，还肯赊酒。现在他死了，那地方也关门了。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.22168} 镇上闹瘟疫呢。你为什么还在街上乱逛？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.3429} 我又没向你讨教。以前至少还有酒馆可去，现在斯塔马京死了，连口酒都没处找了。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.8307} 看来这酒馆算是这地方最主要的文化中心了。没了它，大家都像成了孤儿。
{Dialogs2.Citizens.Citizens_Man_AndreyDead.17376} 以前是啊。现在没了斯塔马京，就再也没有白喝或赊账的酒了，什么都要钱。这种文化谁稀罕？
{Dialogs2.Citizens.Citizens_Man_AndreyDead.29442} ……
{Dialogs2.Citizens.Citizens_Man_AndreyDead.23036} 你知道喝酒对身体不好吧。
