{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.17965} 一个人躺在这里。他给你带来了时间。接受他的礼物，就是仁慈之举。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.64576} 你是大教堂的看守者。没有你的照料，大教堂要怎么活？
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.32179} 你的问题里有比你意识到更多的真相。大教堂不需要守望者。我照看它，是因为我习惯了，不是因为我的工作不可或缺。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.34476} 那你在这里做什么？
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.52670} 你需要取走这个人的时间。他叫列昂季，他的时辰已经屈指可数。他还拼命攥着它们……但他留不住。有些药能帮他松开手。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.21061} 你是谁？
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.26669} 我看守大教堂及其庭院。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.37801} 现在，你是在看守我。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.61201} 那你在这里做什么？
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.53176} 离他远点——退后，我说！你想染上瘟疫吗？
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.57338} 我不会死于瘟疫……他也不会。但他确实得了瘟疫。
{Dialogs2.Days.Day0.Day0_Q0.1_EuthanasiaTutorial.Day0_Q0.1_Caretaker_Euthanasia.47096} 加入我的谜题俱乐部吧。聚会将在昨晚举行。
