{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.32523} 镜子与棺材何其相似：只要一眼看得不是时候，它们就会把你困在里面。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.57446} 往镜子里看，看到自己，有什么不对？镜子本来就是干这个的。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.123} 想象你自己就是一面镜子：当一个人站在你面前，你便在体内留住他的复影。于是，原本站着一个人的地方，如今就成了一个人，<i>又一个人。</i>\n\n如果我是一面镶着框的镜子，我便会把那人锁在深处，永不放出，叫他永远藏在镀银的玻璃之后……
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.23568} 镜子不过是玻璃和银汞齐。它们又不会思考。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.19049} <i>汞齐，</i>对，就是这个词，seigneur。虽难以置信，你却仍得相信：我们镇上的时间流法，与你所知的全然不同。它是一种<i>流体。</i>它会渗，会漏，而你得在其中泅渡。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.54905} 我听说过平行历史，平行光学倒还是头一回。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.1278} 光学不过是西蒙诸多学问之一。虽难以置信，你却仍得相信：我们镇上的时间流法，与你所知的全然不同。它是一种<i>流体。</i>它会渗，会漏，而你得在其中泅渡。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.13169} 我可一点也不急着躺进自己的棺材里。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.213} 哈！多么俏皮，seigneur。你可真是妙趣横生……\n\n这里只要记得别往棺材里看。我看不出你有这个必要。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.8331} 那我也该避开镜子吗？我会在里面看见什么不该看的东西？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.27373} 里面装的是什么？
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.18377} 下水，seigneur；对谁都没用。
{Dialogs2.Days.Day0.Day0_Q0_TimeManagementTutorial.Day0_Q0_Shadows_TimeManagementTutorial.9655} 我得用撬棍把棺材撬开吗？
