{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.36290} 你为什么非要在这里乱探？我不是说清楚了吗，你会被吞掉的。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.164} 这不是我<i>计划</i>好的。你在镇上走，想不撞见瘟疫都难。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.11646} 好吧，这点算你说对——你也不能就这么穿过瘟疫跑过去。但既然这样，你就得学会感染街区的解剖结构。通常会有一个中心。\n\n你看见地上有什么？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.1850} 我是医生。研究疾病是我的使命。我不能躲着它来研究。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.4746} 嗯，真是高尚极了。但既然这样，你就得学会感染街区的解剖结构。通常会有一个中心。\n\n你看见地上有什么？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.2724} 垃圾和碎屑。有时还有尸体。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.7052} 街区里某处有个焦点。瘟疫的裂口。它上面常常会开着暗红色的花——靠血长活的花。这样裂口就很容易看出来。\n\n不过换作我，会离它越远越好。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.55859} 啊，你是说<i>感染</i>焦点？这说得通。任何感染都必然有源头。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.44179} 我说的是<i>裂口。</i>地上的裂口。没人告诉过你，愤怒、死亡和Shabnak（泥魔女）都从大地里生出来吗？好，现在你知道了。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.5565} 换句话说，这片街区某处有一块满是细菌的泥土温床，旁边有一朵很醒目的花。我应该采集样本。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.15194} 你疯了吗？如果有人去动<i>你的</i>母亲，你会怎么样？惊扰大地，Shabnak-adyg（泥魔女）就只会看见你。她不会停下，直到把你的命从喉咙里掐出来。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.13287} 有人曾建议我，不要把自己的幻觉太当真。所以我不会。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.63403} 她现在走开了……也许你能办成。找到那朵花，就刮下它下面的泥土。\n\n但下次，Shabnak（泥魔女）会在附近，记住我的话。你要么设法阻止她，才能采到样本，要么躲开她，我不知道。总之，你最好还是待在家里。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.44797} 不存在的东西伤不了我。我只需要管住自己的想象。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.29758} 哦，对，因为话语杀不了人。几千次有人喊“着火了！”“我恨你！”或者“我宣战！”之后，从来没人死过。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.33883} 让我先采个样本，之后会发生什么再说。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.7309} 嗯，那就完全不一样了。那些时候，杀人的可不是话语。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.9617} 越靠近感染焦点，危险越大。我明白。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.35710} 所以瘟疫从地下冒出来……这是非常重要的线索。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.28249} 如果不研究感染，我怎么理解它的本质？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.41963} 裂口？它从哪儿来？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.18124} 大地。没人告诉过你，愤怒、死亡和Shabnak（泥魔女）都从大地里生出来吗？好，现在你知道了。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.21223} 所以你是在建议我到感染街区里四处采漂亮的花？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.7910} 不，<i>我</i>是在建议你离这里远远的，去做任何别的事。而且那花也没多漂亮。\n\n没人告诉过你，愤怒、死亡和Shabnak（泥魔女）都从大地里生出来吗？好，现在你知道了。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.41895} 瘟疫瘴气和雾。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.56629} 大地为母，大地亦吞噬。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.64727} 那你呢？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.18880} 我已经告诉过你了：她是我的小妹妹。这是……家事。就当我们在分遗产。总之——不关你的事。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.49779} 你会染上瘟疫然后死掉，这就关我的事了。
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.39659} 别把这事扣到我头上。<i>我</i>好得很。<i>你</i>才是那个闯进了自己走不出去的地方的人。你到底懂不懂感染街区的解剖结构？通常会有一个中心。\n\n你看见地上有什么？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.32359} 人们总在感染街区看见你。会不会是你在传播瘟疫？
{Dialogs2.Days.Day0.Day0_Q14_SilverBulletTutorial.Day0_Q14_Changeling_KillShabnak.11379} 冷静点，姑娘。我知道自己在做什么。
