{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.1406} ……看吧。我一直都在这里。只是你拒绝看见我。你这个死过那么多次、却还活着的人！
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.54600} 这就是你想要的吗？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.18837} 当然！你怎么还会怀疑？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.38828} 一分钟前，你完全是另一个样子。冰冷，而且……不属于静水观星台。万一那个伊娃才是真的呢？我不喜欢替你决定你的人格。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.4473} 为什么？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.13445} 你是你自己，不是任我摆弄的玩具。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.2957} 可如果我并不介意当你的玩具呢？如果我必须在你和一个听不见我们的神之间选择？在你和一个冰冷、造作的宇宙之间选择？甚至在你和西蒙之间选择？那我选择属于你。你诚实，又不安分。这些都是好品质。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.12278} 请别这样说。我需要能与我交谈的伙伴，不需要仆人。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.29643} 所以你不想自由？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.62844} 我想和某种比我自己更伟大、更有趣的东西连在一起。其实我很笨的……你引用伟大的思想家和哲学家——我一个也不认识。哪一年爆发了哪场战争。谁发明了印刷机。还有……我想让你相信我。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.28665} 我相信你，你这个傻姑娘！我相信，不管你是谁！
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.52139} 在教堂屋顶上的那一瞬，我想过，也许死亡真的存在。我站在那里，像是被一层灰雾裹住。可你相信我。你看见了我，即使在那片暮色里，我并不好找。我本想让你看见死亡并不存在，可到头来，是你让我看见了！正因如此，我会永远坐在你的左手边。无论你做什么。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.51372} ……为什么是左边？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.52108} 我不知道。我觉得右手是用来发号施令的，而我帮不上那个忙。但左手通向心。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.47015} 你愿意跟我回首都吗？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.35887} 嗯……如果你真的想，我想我可以。可我觉得那样不对。我感觉首都会把我变成最普通的人，你也就不会再喜欢我了。而静水观星台会觉得孤单……
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.25394} 我明白。我不会逼你做任何你不愿意的事。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.25369} 我还怕你会不假思索地说“愿意”。可你有异议，这就说明你终究不是木偶。真让我安心。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.47851} 你会喜欢首都的。那里很大，很美，也很有趣——都是你向往的东西。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.43337} 再看吧。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.53857} 就做平常的你。你已经很好。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.6770} 我明白你的意思。我也不想脱离知识、历史或科学而自由。某种意义上，我被它们束缚着，而我绝不会拿这种束缚去换任何东西。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.12400} 这感觉像是我在看见自己想看见的东西。这是逃避。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.29647} 这是力量，也是掌控。你终于意识到，不该由你跟着世界走——世界必须跟着你走。这才是击败死亡的唯一办法，你不明白吗？死亡是存在法则的一部分。要把它踩在脚下，就必须拒绝那些法则。这里绝没有谦逊的位置。
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.29705} “一直以来”？真的？
{Dialogs2.Days.Day10.Day10_Q11_EvaOnTheStairs.Day10_Q11_Eva_Saved.30332} 当然！你为什么还要问？现在你看见了我的全部，连最后一道皱褶都看见了！而且只要你愿意，我们哪一天都能再见。
