{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.46684} 还要！我还要！你看见天空亮起来了吗？真疯！
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.24891} 哇，看它炸！我们该去仓库，吓吓诺特金那伙人！
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.26675} 你不担心火星溅到自己身上吗？
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.4562} 睁开眼，老头。现在是打仗！我本来有三个兄弟——你知道那些半灵混蛋对他们做了什么吗？就因为我们踏进仓库，他们就用棍子把他们打死了。我说把他们连同他们的头儿一起烧光！他今天还杀了可汗！
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.14931} 可汗被杀了？你在胡说什么？这不可能……
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.33571} 就是可能！诺特金那个混蛋从背后开枪打中了他！
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.32376} 你想象力太野了，孩子。诺特金为什么要杀可汗？
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.13751} 你住沟里吗，老头？你对这镇子一点都不知道？这里的孩子分成帮派，这些帮派已经拼命打了一星期！可汗就是这样……中弹的。
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.16045} 可汗……他那么聪明，我们孩子世界里的凯恩……怎么会变成这样？
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.36715} 发生了什么？你们的“战争”是怎么开始的？
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.33030} 瘟疫来临前一天，诺特金那群畜生抓了个小孩，把他关在笼子里饿着。可汗知道得太晚了，可知道之后他非常生气。小冲突开始，有人被石头砸死，其他人去报仇……有些人偷偷穿过瘟疫区，感染了，之后我们就数不清死了多少人……
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.56682} 你说瘟疫来临前一天？那是我到城里的第二天……
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.53839} 不该这样。绝不该这样。孩子不该互相杀戮。你们本该比我们这些大人更好！
{Dialogs2.Days.Day10.Day10_Q13_ChildrenDuel.Day10_Q13_Spectators_ChildrenEvents.20224} 我刚下火车没多久，这座镇上的孩子就让我明白，放任他们为所欲为，对这里任何人都不会有好结果。
