{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.34867} 谁在那儿？我看不见。是你吗，熊？
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.60411} 这里出了什么事？
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.63610} 现在没什么了。都已经发生完了。谁能想到这场仗会这样收场——这么……蠢。可也许所有战争都是这么结束的：两边都碎了。现在我明白了。可这又给我换来了什么。连小丑——我的猫——都走了……我们的魂兽全跑了。大概是对我们失望了。当然。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.54701} 这时候不是哀悼动物的时候——镇上闹着沙疫，你也染上了沙疫！动物怎么会失望？这又不是童话。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.4480} 大人就是这样。你们看不见孩子的战争——它离你们太远，藏在你们大人生活的背面。可我们——半灵和狗头人——已经彼此耗了整整一周……一开始还不算什么。后来……流了真血。真的……那时候魂兽就离开了。狗头人里活下来的，都往塔更深处爬去了。我们呢……你也看见了。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.34379} 你们到底为了什么打起来？
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.24546} 为了蠢事。为了拗着不低头。战争还能是什么做成的？我们早就互相咬着喉咙——从我走出塔，其他人跟我一起走的那天起。可汗……他从没原谅过我。留在塔里的人叫我们叛徒。我们只是想让他们醒过来！他们活得像睡着一样，把自己封在那座玻璃塔里——真正的日子对他们一点意义都没有……十天前，我们抓住了他们一个小崽子——他想偷我们的灯。我们把他关了起来，然后他死了。他的朋友来报仇。战争就这样够了。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.19501} 你说话像你那头熊。我是说布拉赫。他也觉得多面体是场妄想。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.50325} 所以熊才是大人里最聪明的。他连塔都没进去过，从没见过那地方怎么搅坏人的脑袋——可他还是懂。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.57147} 可眼下专门要你命的是沙疫，不是这场孩子帮派的战争。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.16201} 你错了——这也是战争害的。我们和他们都在镇上找新的藏身处，找能伏击、能藏东西的地方……钻进废屋里。有人染上了病——连是我们的人还是他们的人都说不清。反正后来我们把病传给了彼此。可汗……运气好。他没染上。我朝他背后开了枪……像个懦夫。像最下等的懦夫。
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.53126} 为什么？！
{Dialogs2.Days.Day10.Day10_Q18_CowardAndMurderer.Day10_Q18_Notkin_Murderer.35749} 我怎么说？我自己都恶心自己。战争把我们每个人最坏的东西都搅起来了。就像一条溪水本来很清，你往里扔块石头，底下的泥全翻上来——我们就是这样。我们见面谈判，我看得出自己身上有沙疫——他身上没有。前一天，我从一个死强盗那儿捡了把左轮。然后我的手……动了。
