{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8033} 医生！这也许有些冒昧，但我觉得我现在全明白了。关于瘟疫。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.18263} 所以——你又有了发现？怎么做到的？什么时候……
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.39541} 这都多亏了您的工作，医生！等数据积累得够多，我只是把二和二相加。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.18651} 别谦虚。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.10872} 我们一直想不通：为什么瘟疫这么难战胜——诀窍在哪里？为什么它变化得这么快，为什么昨天的疫苗今天就失效……因为它会警告自己！它会和自己说话！
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.49922} 什么？
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.7400} 假设我们有两个瘟疫病人：一个我们试着治疗过，另一个没有。然后他们相遇——比如在医院里。他们互相呼吸，互相咳嗽。于是两场瘟疫彼此相遇。其中一株已经知道我们想怎么杀死它——于是它警告另一株，不要上我们的当。而第二株，你看……就变聪明了。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8054} 嗯。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.8436} 我见过，医生！您也见过。几乎每一天都是。您离开时，我查了记录：谁什么时候进来，分到哪张床，邻床是谁……记录里全都看得出来！我想总有一天您甚至能亲眼看见它——很多年以后……等工具更强大。它必定有某种负责这件事的东西——一些部件……器官……正确的词该叫什么都好。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.14836} 它必定有某种东西。我们对细菌结构的理解还远远不够。
{Dialogs2.Days.Day10.Day10_Q19_PlagueUnderstanding.Day10_Q19_Watson_LastDiscovery.27697} 我知道您会把我打发掉，但有些病人发誓说他们听见它在说话——不是一个声音，而是许多声音，像合唱。我自己也以为那是发热谵妄。可正是这谵妄让我去查病历——瘟疫如何从一个病人转到另一个病人，是否有规律……
