{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.3208} 结束了，对吗？你不说话，我想这意味着布洛克将军已经被杀了。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.7424} 恭喜你，拉拉，最后还是让你如愿了。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.21395} 被杀的不只是布洛克。还有两名列兵和他一起死了。他们站在门边，什么错也没有。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.6915} 我看你很喜欢把我想成某种怪物。我不是。我没有觉得痛快。事情最后流了更多血，我很抱歉。我从没想要这样，而且我被关在牢房里，也无力左右它。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.6741} 我得说，这一手安排得相当狡猾，拉拉。我从没想到你会有同谋。也许还不止一个？
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.19386} 他常来找我，我们隔着门说话，就像你和我现在这样。他说他认识我的父亲，还说我被捕是压垮他的最后一根稻草。布洛克将军把我关进牢房，激怒了他手下不少人。他们觉得这是羞辱。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.22734} 是谁？又从哪儿冒出一个杀人犯？
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.16050} 我不知道。他常来找我，我们隔着门说话，就像你和我现在这样。他说他认识我的父亲，还说我被捕是压垮他的最后一根稻草。布洛克将军把我关进牢房，激怒了他手下不少人。他们觉得这是羞辱。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.649} 好像拉维尔上尉的死还不够似的。现在他又抓住了我，不经任何审判就把我关进笼子。布洛克将军下令逮捕我的那一刻，就签下了自己的死刑令。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.2645} 所以他是军方的人？那个杀人犯？
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.22998} 你知道凶手具体是谁吗？
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.23854} 就算我知道，我又凭什么告诉你？拷打我也好，威胁我也好，随你怎么做，我不会再多说一个字。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.14200} 布洛克遇刺已经在全城激起暴乱。成百上千的人陷入危险。很多人会死。这就是你想要的吗？
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.20261} 我已经什么都不想要了。我不在乎。把我关在牢房里也好，放我出去也好，都没区别。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.6395} 你是个古怪的女人，拉拉。静水深处，最须提防。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.32207} 我倒希望自己也能不在乎。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.20922} 我不知道自己为什么还在你身上浪费时间。一切都毫无意义，毫无用处。
{Dialogs2.Days.Day10.Day10_Q5_LaraAccomplice.Day10_Q5_Lara_Accomplice.20074} 几天前，坐在那间牢房里的还是我。如今我后悔自己竟走了出来。
