{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.60653} 医生，什么风把您吹来了？法令又出麻烦了？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.39934} 难道我这辈子就让公牛吃过一次文书，你就要永远拿它压我？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.11929} 我会的。毕竟，那件事相当丑闻——而且太能说明您的治理方式了。把小镇的命运交给一头反刍动物的胃口！\n\n不过如果今天公牛吃饱了，您来到我这卑微岗位有何贵干？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.47435} 我想问问，为什么大教堂里突然多出这么多镜子。卡明斯基的自恋又发作了吗？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.41839} 我来见你的新上司。你能替我登记预约吗？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.31253} 恐怕我不能为您“登记”任何事。卡明斯基只由自己决定何时与谁谈话，并按只有他自己知道的顺序召见镇民。这就是审判庭的运作原则。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.24275} 如果我也这么做，你会说这是骇人的组织能力缺失——而不是什么原则。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.44747} 明白了。谢谢。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.2304} 我能问个无关的问题吗？为什么大教堂里有这么多镜子？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.53788} 没问题。告诉我，赫伦——这里为什么有这么多镜子？
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.63853} 如您所知，卡明斯基把大量时间投入研究不可能物体。其中之一，所谓多面体，在结构中使用镜子。因此，镜子的性质令审判庭感兴趣。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.2451} 可我们不在多面体里——我们在大教堂。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.24494} 的确。审判官的研究由玛丽亚·凯恩协助。今天，她说装在大教堂里的镜子只能由它们所为之放置的人打破。大教堂自行决定谁能击碎它们——谁不能。\n\n很奇妙的现象。卡明斯基立刻下令安装镜子。然而他自己无法打破它们，尽管它们出现在这里完全出自他本人的意志。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.30004} 你确定自己没弄错？玛丽亚在帮助卡明斯基？她鄙视他——他毁了她父亲的心智。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.62561} 从人的层面看，玛丽亚·凯恩当然有理由怨恨审判庭；她父亲受了重创。但经验表明，她已经超越了这一点。理性之人不受感情驱使，而受眼前展开的前景指引。
{Dialogs2.Days.Day10.Day10_Q9.1_InqusitorMirrors.Day10_Q9.1_Secretary_Mirrors.35480} 不过，还是很奇怪。
