{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.22199} 那么——你好，学者丹科夫斯基。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.2286} 您好，莉莉奇审判官。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.21612} 很高兴见到你。至少——今天你还活着。至多——你是这座小镇的救主。你做得很出色。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.63987} 我其实没做成多少事。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.23894} 这是疲惫在说话——还夹杂着极端化判断。危险的混合物。丹科夫斯基，我可以先作一段简短说明吗？清理一下我们之间的误会。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.64646} 我承认有误会需要清理。我有很多问题。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.64636} 谢谢。第一点：道歉。我不该在首都时就用庇护你和塔纳提卡的提议，给我们的相识蒙上阴影。对你这样的人，那种提议只会冒犯你。我错了——而且错了两重。你在一座濒临灾难的小镇里撑过十一天，这足以证明你从一开始就不需要任何保护。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.37895} 就我而言，我现在已经不确定自己还能独自应付了。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.44386} 第二点：你和我正站在一个转折点上。一起。这座小镇的命运悬于一线；很快，一切都会见分晓——无论走向哪一边。正因如此，我希望我们能从一张白纸开始。那些偶然登上一艘风暴中沉船的人，应该互相抛绳，而不是用胳膊肘互相挤开。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.25376} 就算是吧。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Aglaya_Hello.51787} 第三点：我是非正式来到这里的。这很重要。这座小镇与我有血缘关系：已故的妮娜·凯纳，娘家姓莉莉奇，是我的姐姐。我不能说我们很亲近，但我了解凯恩家族——当然也了解他们关于乌托邦小镇的计划。最近我和西蒙有一段相当激烈的通信。
