{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.19966} 如果把盐倒进小牛的左眼，它就不会再直着走——它会一直往左偏。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.4786} 这是比喻，还是你只是在分享民间智慧？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.37021} 你就是小牛犊。你以为自己走的是直路，其实一直在绕圈。生活把盐倒进了你的眼睛——很疼，你又眨不出去，所以你生气。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.28750} 你来就是为了这个——再嘲笑我一次？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.57193} 听着——我是来明明白白求你：别妨碍我。让开，离开这条路。我几乎已经战胜瘟疫了……我知道必须做什么。它还能有好结局。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.24382} 我可没在街上看到一群被你奇迹信仰治好的人。为什么？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.60557} 书本先生，你的科学同时简化又复杂化一切。你透过显微镜看疾病，就以为它是细菌。你把我当成不知道细菌的天真小傻瓜吗？我当然知道。可我也知道，传染、死亡、绝望、失败——它们根本不在细菌里。在你的目光下，真相会皱缩、变硬，变成最粗陋的形状。把眼睛移开。然后我的目光就会赢。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.556} 你来晚了——他们已经强迫我闭上眼。军队解散了医院。病人们……会被烧掉。有人这么告诉我。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.5069} 所以是真的？可怜的人们……还有你，也是可怜的人。我真的怜悯他们——也怜悯你。想听建议吗，书本先生？别再挖过去，四处找错误了。这里没有你能做的事——你不可能提前铺好稻草，就保护他们不摔下去。命运骗不过。若你还能行动，就只能在现在行动。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.30836} 你怜悯我？看来末日真的到了。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.14635} 谢谢你，克拉拉。我真的……被这个消息压垮了。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.34232} 那你那些甜腻的话呢——说只要我把主角位置让给你，一切都会有好结局？病人也会有好结局吗？算了——别回答。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.50607} 听着——既然你和先知搭上了伙，告诉我一点孩子们的事……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.17848} 我怎么会和那只长尾巴的骗子搭伙！绝不。别污蔑我。我找的是真正的出口，不是他那些肮脏的鼠洞。不过他是挺滑稽的，这你不能否认：一只设捕鼠夹的老鼠。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.41961} 你不记得了？嗯。还是我已经把日子弄得一塌糊涂了……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.21712} 不是你叫我去找那些钩子的吗？别把我当傻子耍！
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.2020} 老鼠设捕鼠夹。我不喜欢这个。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.38494} 你知道，我没你想的那么骄傲。如果有人代替我战胜了瘟疫，我会为他鼓掌。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.40570} 我生气是因为今天我失去了医院。我得把它夺回来——阻止这种野蛮行径！所以抱歉，我没时间听比喻。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.47987} 你真的疯得不轻。你知道那有多疼吗？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.45649} 我小时候，有个邻居男孩也差不多这样折磨猫。其他孩子用棍子揍了他。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.9155} 我敢说，你一定躲在窗后，抱着课本欣赏了他们的壮举。你就是小牛犊。你以为自己走的是直路，其实一直在绕圈。生活把盐倒进了你的眼睛——很疼，你又眨不出去，所以你生气。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Changeling_Tomorrow.47603} 动物不该被伤害，克拉拉——尤其是小动物。
