{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.2155} 谢谢您来告别，医生。我不知道自己更怕什么——没人告诉您，还是在栅栏这边看见您。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.62558} 该死……他们一句也没告诉我。我撞上医院锁住的门，才明白发生了什么。太卑劣了——像一块废布似的被扫到一边。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.21351} 利特尔！雅科夫……我会把你弄出去——你和病人们都会。我会想出办法，我会找到路——我发誓。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.6962} 你和将军谈过？我也谈过——就在他们抓住我们、把我们拖到这里来的时候。什么都打动不了他，一点也不。他从文件里读到医院周边病区最严重——可那只是因为，按他们的话说，那里被调查得最多。后来我套出一个士兵的话：他们有——怎么说来着——非战斗减员。他们自己也在死于瘟疫。将军想救他的人——这能理解。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.12777} 我想正是这样。他不想把自己的部队浪费在一座根本没有开战的镇上。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.62537} 当然，这让我怒不可遏——瘟疫正在把人活生生嚼碎，所剩的生命已经不多，可他们连这点也不肯给。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.11923} 你也是那些人之一……那些所剩生命不多的人。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.11754} 您昨天说出了诊断，所以我按它吃了相应的药。我还撑着——全靠您，医生先生！
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.40250} 你这样结束，太不公正。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.14785} 你知道，昨天我很怕把你的诊断弄错。面对自己在意的病人，很难保持冷静。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.35491} 您昨天说出了诊断，所以我按它吃了相应的药。可……请原谅——药不对。诊断错了。我不得不重新检查自己，换了处方。您看，起效了——不然我黎明前就死了。谢谢您，医生先生——这是我从您身上学来的。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.56704} 您昨天其实没有给我诊断。我只好自己检查自己，自己开药。您看，起效了——不然我黎明前就死了。谢谢您，医生先生——这是我从您身上学来的。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.36936} 是……只有一件事我不明白：你为什么在栅栏那一边？逞英雄吗？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.6422} 您昨天没有进医院——否则您会知道：我染上瘟疫了。但我给自己做了第二次诊断，开了几种药。您看，起效了——不然我黎明前就死了。谢谢您，医生先生——这是我从您身上学来的。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.34790} 你染上瘟疫了？雅科夫——怎么……怎么会……
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.59486} 我只遗憾一件事：我们没来得及再做出哪怕一份血清。我翻了参考书——现在知道我们手里的不是疫苗，更接近血清，就像您一开始说的。好吧。讽刺的是：他们把所有人都按我们的名单拖来了。有新的并发病例——今早发现的。设备也有一些……都在这里。可是——不。他们不许。他们不许。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.20908} 你一如既往是对的：这座镇还需要一份疫……血清。也许是最后一份。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.60634} 医生……如果您要和将军讨价还价，就争取真正能拿到的东西。他不会把我们还给您——您看得见。但他也许会允许您完成工作。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.2204} 别这么说。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.38238} 照顾好自己，雅科夫。也照顾好我们的病人。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.40304} 等一下……让我喘口气，我会想出办法。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.59390} 也许吧。我不知道——我快放弃了。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.14166} 我会把你弄出去——听见了吗？
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.55701} 你谢我什么？你是凭自己的本事撑过去的——凭你自己，也只有你自己。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.21654} 我想他真的相信这是所有人的救赎。
{Dialogs2.Days.Day11.Day11_Q11_LastVaccination.Day11_Q11_Tochechka_Saving.51176} 我认为他疯了。
