{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.39978} 怎么了，人类？你从没听过骨头的音乐吗？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.17536} 你们两个倒是相处融洽。为什么我一点也不意外？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.25511} 不像你们这些迟钝的医生，克拉拉有许多本事——比如，她听得见。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.17017} 我们被同一片土地系着，被同一种命运鞭打，也想要同一件事——拯救这座镇。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.1708} 你说“骨乐”是什么意思？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.7674} 人类也能派上用场。一点点，但能。比如：你们的骨头能做出最好的笛子。听见音乐了吗？那种声音只有人骨才能吹出来。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.2042} 听起来就是一支普通、平庸的笛子。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.25340} 有些东西就是这样。对普通人来说，它们听起来普通——反过来也一样。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.65117} 平庸者想抬高身价时惯用的借口。而伟大的音乐，任何人都听得懂。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.9198} 他是医生人；他的耳朵里塞满了科学，别的什么也没有。很快士兵就会进军多面体，到时会有血。医生人知道这一点，却不知道该怎么办——于是像游客一样在镇上闲逛，纵容自己。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.30349} 你怎么知道多面体那边发生了什么？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.20821} 有耳朵的都知道。你听不见那座受诅咒的塔在吱嘎作响吗——多么可怕？孩子不该在里面；那吱嘎声是灾难将至的回声。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.55979} 我知道那里不是给孩子待的地方。可他们不肯走。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.6245} 我能把他们引出来。我会把每个孩子带到安全的地方。我只需要选对旋律——可为了那旋律，我需要一支特别的笛子。给我找一根孩子的骨头——胫骨。重要的是：必须是一个惨死孩子的骨头。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.23847} 你疯了，先知。你说“惨死”是什么意思？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.64311} 被拷打，被折磨，饿死。你没听过那个男孩被肢解、扔进林子里的寓言吗？他的胫骨在风中唱出凶手们的名字。我需要的就是那样的骨头。那种骨头能做出最好的笛子。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.55960} 我到底该去哪里找这样的骨头？
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.13524} 明白了。所以我只要把某个孩子折磨致死就行。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.48766} 土地古老——满是尸体和骨头，也有受苦男孩的骨头。找一根，带来这里。然后我会救出塔里的每个孩子。我为他们吹奏，他们会跟着我走。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.62001} 骨头还不够——你没法只靠笛子把他们全引出来。塔里有些孩子沉得太深，陷在倒影里，在别的世界里，可能听不见。给我带钩子来，医生人，我就能钩住他们，把他们拉出来——我会把每一个孩子从倒影里拉出来。
{Dialogs2.Days.Day11.Day11_Q12_PiedPiperOfHamelin.Day11_Q12_ProphetAndChangeling_Offer.10976} 别去墓地。那里也有骨头，但你需要的是另一种骨头——也是另一种安置死者的地方。一个特别的地方：尸体不是被埋葬，而是被藏起来。最好的儿童骨头，就藏在巨大的铁躯体之间。
