{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.50812} 今天我要痛痛快快喝醉！一起来吧，丹科夫斯基。我们敬我最新的杰作，怎么样？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.15436} 我来问那桩旧事。布拉赫想拆掉多面体——你的杰作就是瘟疫的根源。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.53269} 你真会败坏人的兴致。我已经听够这种鬼话了——这事还要闹多久？全是法尔哈德的怪谈而已。你说布拉赫？他又怎么会知道？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.46303} 该死，你知道。一直以来——你都知道那根尖桩和地下河？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.15208} 我当然知道尖桩。问得真蠢。你真以为一个作者会不知道自己的作品根基底下埋着什么？你让我失望，丹科夫斯基。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.12294} 我问的不只是尖桩。你知道它最后落到了哪里，又刺穿了什么吗？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.8946} 法尔哈德念叨了好多年，说我们的垂直构型是异端，说必须按法尔哈德那套来建——向外扩展。有一天，他跑来说我们的杰作用尖桩刺穿了某些隧道，还说这会有坏下场。结果确实有坏下场——只不过是对法尔哈德而言。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.61055} “法尔哈德的怪谈？”所以法尔哈德确实告诉过你地下河的事？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.53484} 当然，他告诉过我。他可高兴了！法尔哈德念叨了好多年，说我们的垂直构型是异端，说必须按法尔哈德那套来建——向外扩展。有一天，他跑来说我们的杰作用尖桩刺穿了某些隧道，还说这会有坏下场。结果确实有坏下场——只不过是对法尔哈德而言。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.45932} 你在说什么？你杀了他？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.19169} 我用我最喜欢的刀划了他。我只是想献上最后的敬意！
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.27831} 你真令人作呕。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.9117} 再说，我为什么要惊讶？你今天才把马克·卡尔明斯基刺死……
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.64851} 你根本不认识法尔哈德。要是认识，你立刻就会明白：他编出这种“隧道危险”，是为了抹黑我和彼得的作品。他还画了那张愚蠢的地图，以为我会相信他真下去过。当然，他画砸了。要是那张地图是真的，整座城早就塌进地底了。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.19298} 所以呢？法尔哈德死了，你和彼得就决定什么也不做？放着不管？就这样接受多面体破坏了地下隧道？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.13569} 首先，什么都还没有被证明。这全是法尔哈德的怪谈——我确信是他编出来抹黑我和彼得的作品。他还画了那张愚蠢的地图，以为我会相信他真下去过。当然，他画砸了。要是那张地图是真的，整座城早就塌进地底了。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.30619} 所以那张地图确实存在？你见过？它在哪儿？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.54337} 我是站在你这边的，安德烈。我想让多面体免于拆毁。但要做到这一点，我需要那张地图。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.36938} 我怎么知道它在哪儿？我们又没把它跟法尔哈德一起埋了。去问法尔哈德本人吧。彼得总在他的坟前念叨——还发誓说那坟会回话。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.33432} 多谢建议，不过我还没疯到那一步。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.18907} 谈及死者，要么说好话，要么闭口不言。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.50738} ……那你还要我怎么办？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.12279} 今天我和每个谈到法尔哈德的人说话，他们都承认自己杀了他。你们该先统一一下口径。到底是谁干的？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.37387} 那你对他说了什么？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.9753} 我告诉他，如果多面体刺穿了几条隧道——那就只能怪隧道命不好。塔还立着。至于本地乌合之众的圣地，全是胡扯。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.22483} 所以瘟疫在你眼里也是胡扯？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.644} 噢，你能不能别再念瘟疫那套经了？每次都是同样愚蠢的迷信：打破古老禁忌，就会召来大地震怒、河水泛滥、蝗群遮天！在他们眼里，任何家中小祸、任何偶然的死，都是“大地震怒”！
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Andrey_KilledFarkhad.44203} 民俗确实满是迷信……
