{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.62024} 是吗？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.29405} 伊娃，你今天看起来格外悲伤。什么事扰着你了？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.20642} 都因为一个梦。我梦见自己透过望远镜窥看，而你在那里——走在天上，像熄灭蜡烛一样一颗颗熄灭星辰。我一直喊，求你别碰它们……天上已经所剩无几了，而且那么黑，那么黑。可你一点也听不见我。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.35691} 我不喜欢那个梦。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.58514} 我还是不明白，你为什么要熄灭星星。我以为你是那种会点亮新星的人……不过我看得出，你现在不想谈梦，对吗？你是为别的事来的。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.8821} 我在找法尔哈德的书房和钥匙。有人告诉我，钥匙藏在“静水观星台的眼睛里”。这是什么意思？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.12851} 我在找法尔哈德的书房……还有他保存在那里的文件。是在这里吗，在静水观星台里？你知道在哪里吗？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.16662} 不，没什么。我只是注意到你很悲伤，仅此而已。我保证，我不会去熄灭星星。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.9020} 告诉我——法尔哈德以前住在这里，住在静水观星台，对吗？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.23219} 建造房屋的人，总会把自己的一部分留下来，住在里面。你为什么问？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.19712} 我需要进他的书房。有人告诉我，钥匙藏在“静水观星台的眼睛里”。这是什么意思？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Eva_FarkhandRoom.55751} 静水观星台本来是要做成一座天文台的。如果这里有望远镜，我会说那就是眼睛。可这里没有……所以也许是某种形状。圆形的东西。也许是大厅里的水池？
