{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.34138} “法尔哈德长眠于此，最固执的建筑师。悲痛欲绝的同僚敬献。P. et A. gemini（双生者彼得与安德烈）”
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.1518} 我一定是走投无路了，才会试着和一块墓碑说话。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.42963} 或者正相反：你很清楚自己想要什么，所以才来了。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.30694} 等等——什么？谁在说话？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.39323} 你来和墓碑说话，却惊讶它会回答。真是个有趣的人。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.23078} 我知道你下过镇子底下的隧道。我急需那些隧道的地图。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.14568} 为什么？
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.27157} 那张地图能救这座镇。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.44606} 你不是在试图拯救这座镇。你是在试图拯救多面体——我誓敌的作品。这倒有些讽刺。我本可以受辱而拒绝，但死亡教会了我克制。我早已不再怪罪斯塔马京兄弟。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.47149} 那张地图能救多面体。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.20438} 所以你要我帮忙拯救我誓敌的作品？这倒有些讽刺。我本可以受辱而拒绝，但死亡教会了我克制。我早已不再怪罪斯塔马京兄弟。
{Dialogs2.Days.Day11.Day11_Q15_MapOfFarkhad.Day11_Q15_Monument_WhereAreYou.64503} 你会帮我吗？
