{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.12498} 完了……这下我们完了。全都要到长凳底下去。一起。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.35182} 不，不，我有家人，你听见了吗？我不能栽在这儿！不能！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.65526} 稳住，弟兄们。我们能脱身。不上审讯凳，什么都没有——只要咱们咬死一套说法。就这么办：报告里我写，头儿自己破了规矩，叫我们给正在休息的客人松绑。这是真的，对吧？真的。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.40044} 这是你们的行话吗？“压到凳子下面”是什么意思？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.7761} 自己琢磨……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.8571} 这里发生了什么？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.6479} 他——我——我连眼都没眨！头儿就已经在血里咕噜了……罗戈夫，你眼睛看哪儿去了？连休息都办不好？不是告诉你了吗：别把眼睛从客人身上挪开！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.56736} 我告诉你们：报告填对了，我们就能溜出去。最坏也就是没假休、挨一巴掌、降职……没什么大不了。你们怎么像小孩似的？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.22040} “休息”是折磨的委婉说法，我理解得对吗？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.45269} 你抠字眼干什么？现在不是时候。罗戈夫，你听好：我的报告里不会撒谎。不。你想把我们全拖下水，是吧？你出的岔子，你的烂摊子！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.20920} 什么岔子？弟兄们，你们这就要把我扔到公牛蹄子底下了？咱们都在一条绳上，得抱紧——
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.9295} 我会明明白白写上：命令你看住正在休息的客人，而你站在那儿抠鼻子！我就这么写。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.62842} 你们也看见那客人了吧？瘦巴巴的，搞艺术的书虫——有什么好盯的？档案里写得清清楚楚：软蛋，还是个醉鬼。谁能想到他会这么一扑——半空中砸碎镜子，抓起碎片？那可是本事！而且是头儿自己叫我们给他松绑的……
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.2806} 别往头儿身上推。下作。他已经为自己的失误付了账。现在轮到我们付。罗戈夫，尤其是你。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.29351} 诸位，请解释一下：这里发生了什么？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.848} 关你什么事？你是谁，我们凭什么回答你？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.58737} 那是丹科夫斯基，弟兄们。头儿一到这里就把他拉进队伍里。后来还总叫他来。他们肯定会问他这里发生了什么，准没错。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.8287} 可不是！那更该把正确版本告诉他。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.64564} 高兴你们自己明白这一点。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Agents_Failed.21358} 头儿叫那个建筑师——彼得·斯塔马京来问话。我们把他带来了。审讯开始……
