{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.29175} 我曾预见，吊刑法官会死于镜子。  他是昆虫学家。我感觉他会想把我们的造物拆到原子，再锁进博物馆的霉味里。我以为他会把鼻子伸到不该碰的地方，最后迷失在多面体的棱面之间——毕竟那些棱面也是镜子。而结果却是……哦，多么讽刺！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.33215} 你预见到了？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.30523} 几天前，在你到来的第九日前夜，我做了一个梦。一颗铁心坠落在镜面的脸上——可碎裂的不是脆弱的玻璃，而是金属。真正的血从那颗心里涌出。我立刻明白，这个梦说的是一名审判官之死。只是细节我判断错了。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.55909} 而你把镜子按字面解释了？若是我，倒会把它视为隐喻——比如西蒙的事业，或凯恩家宏大构想的整体。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.41904} 这正是你不是女主人的原因，恩-丹尼尔——虽然你努力捕捉预言微光的样子令人动容。你看，我犯的是相反的错误，过度偏向隐喻：我以为镜子象征多面体。而有时，镜子就只是镜子。它们也会以最简单的方式杀人——只凭一道锋利的边缘。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.4527} 如果你知道会发生什么，为什么不警告我？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.62538} 为什么我……哈哈哈！哈哈！我为什么要警告你，恩-丹尼尔？
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.47366} 我本可以阻止他的死。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.44626} 正是如此。有些事件既不应被延后，也不应被催促——必须让它们在自己的时辰发生。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.36960} 你口中的“事件”是死亡。是谋杀。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.23708} 我会等于帮助他死去。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.9434} 我……我只是以为你信任我。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.27134} 哦，我当然信任你！但有些事件既不应被延后，也不应被催促——必须让它们在自己的时辰发生。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.50896} 可为什么偏偏是绞刑法官之死？那颗铁心也可能指任何审判官——比如阿格拉娅·莉莉奇。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.34736} 我的姑母？我倒没有想到……但你说得对，那个梦也可能是她。可到头来，这真的重要吗？当审判官们披上铁心，他们便被剥去了面孔与姓名。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.6121} 许多组织确实如此——但审判庭不是。每一名审判官都按自己的意志行事。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.35651} 我相信自己做出了正确的决定。一切都以最好的方式归位了。有些事件既不应被延后，也不应被催促——必须让它们在自己的时辰发生。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.14978} 一个拥有这种预测能力的模型，恐怕只能被当成笑话。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.1966} 不要回避问题。不管是不是梦——后来你是有意挑起了卡尔明斯基对镜面装置的兴趣。我昨天听见你们的谈话了！
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.50344} 当然。若女主人只是像温顺的羊一样被动旁观预言流逝，那她还有什么用？温暖之心的天赋赐予我们，是为了让我们感知未来的线；但若要实现它的构型，就必须亲手拉动那些线。未来不会自己诞生。
{Dialogs2.Days.Day11.Day11_Q5_CathedralPerformance.Day11_Q5_Maria_Success.53914} 所以你有意识地把他引向死亡。
