{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35555} 我很忙，丹科夫斯基。请免去开场白，直说重点。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35200} 那就直截了当吧。为什么您的士兵围困了多面体？
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.12630} 显而易见，您对战争了解甚少。我的士兵只是在多面体附近布防。并没有围困。围困是另一种完全不同的机动。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.23735} 很好。那他们为什么要在多面体附近布防？
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.6753} 我们说白吧，丹科夫斯基。这座镇已经完了。您知道，我也知道。在这种情况下，我的职责是尽一切可能减少伤亡。孩子们必须撤离——撤到任何地方，只要远离这里。越快越好。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35804} 孩子们在多面体里很安全。瘟疫到不了那里。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.27165} 这种胡话我已经听过了。“多面体是完美的隔离病房。”别再说了。您亲眼也看得很清楚，这座镇已经没有安全之地。相信一座吱呀作响的纸塔能保护谁免遭瘟疫，这种天真我们承担不起。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.266} 我看您是不会改主意了。但您不可能撤走全镇的人。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.33832} 那孩子们撤走之后，您打算做什么？剩下的人怎么办？
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35806} 我想先至少保住孩子——之后的步骤可以以后再决定。别这样看着我，您知道我是对的。若是拖延，所有人都会死。迟疑在此确实就是致命。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.24760} 您说得对。必须尽快撤离孩子们。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.24720} 那就帮我。如果有更理智的办法能把孩子们从这道瘟疫方程里取出去——我会立刻抓住。您能说服他们出来，离开这座镇吗？我无须告诉您，这才是正确而人道的做法。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.26306} 向我保证，士兵不会进入多面体。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.8576} 您有一天。我向您保证，今天我的人不会惊扰孩子，但我们不能再拖了。如果什么都不做，他们会全死在那里。他们的死会压在我们的良知上。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35832} 一天足够。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.63000} 一天不够。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.41343} 您在这里待多久了？十一天？看来您已经失去时间感，也无法再把握灾难的尺度。我给您一天，不是因为我没有耐心，而是因为再拖片刻，就不会有明天了。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.7499} 时间奔逝，不可追回。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.61445} 十一天？感觉我像在这里待了十一年。但这不是重点。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.22873} 我认为应该别去打扰孩子们。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.47879} 您在犯错。您的办法不会减少伤亡——只会让伤亡成倍增加。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.23076} 如果士兵进入多面体，必会出现伤亡。我听说孩子们有武器。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.46163} “您听说。”我也听说过许多事。这座镇里的流言像野火一样蔓延。我没时间理会传闻和臆测。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.28239} 我知道您不会命令士兵向孩子开火。但如果您的某个部下身边倒下一名战友——他的扣扳机的手指不会抽动一下吗？
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.55868} 我知道，我知道！如果有更理智的办法能把孩子们从这道瘟疫方程里取出去——我会立刻抓住。您能说服他们出来，离开这座镇吗？我无须告诉您，这才是正确而人道的做法。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.61112} 您这次机动叫什么并不重要。重点是它会以灾难收场。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.35399} 我原本对您的评价更高，将军。可结果您也是寻常军人那一套，用人手解决一切问题。即便牵涉到孩子也是如此。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.49901} 我明白了，您是担心多面体。那座被本地知识精英奉若珍宝的单薄纸塔。
{Dialogs2.Days.Day11.Day11_Q7_EmptyingThePolyhedron.Day11_Q7_Block_AnnoyingChildren.38498} 而且理由充分。
