{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.10619} “根据……今日之法令，丹尼尔·丹科夫斯基的实验室……”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.44376} 我读过命令，我知道上面写什么。只给我一分钟，让我向这个地方告别……你这个暴君……
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.43763} 这里怎么回事？
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.16214} 这是对正在履职的军官违抗命令——这就是怎么回事！ 我最后告诉你一次：收拾东西，滚出去。你们完全疯了！以为你是女人，我就不会动用武力？
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.33455} 一定是弄错了……
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.60100} 你是她们的上级，我理解得对吧？别想闹事。我这里有文件，看见了吗？上面写着：“根据今日……之法令，丹尼尔·丹科夫斯基的实验室……”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.41494} 主任，我发誓，如果他再不闭嘴，我就把那份法令塞进他喉咙里。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.57296} 而这，亲爱的，就是在威胁正在履职的军官。刑事犯罪。我要重复多少次？你们是在非法占用这些房间！
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.40226} 谁发布的法令？根据什么？
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.10665} 我正在念给你听！“……丹尼尔·丹科夫斯基的实验室，因其与不可能之物互动，即一条街道……而予以关闭。”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.33788} 等等，什么？
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.3716} “……丹尼尔·丹科夫斯基无视一切警告，走过不可能之街，由此封定了自己的命运。实验室予以关闭，工作人员驱逐。印章，签名。”
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.37542} 这不可能。
{Dialogs2.Days.Day12.Day12_Q14_CursedStreet_Ending.Day12_Q14_SeraphimaAndGB_Nonsense.30528} 我不知道什么样的横穿马路罪行大到要因此关掉我们，但文件就是这么写的。我能理解不合时宜，也许贪污……这肯定是弄错了吧？
