{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.10334} 啊！丹科夫斯基！你怎么溜过路障的？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.35517} 我不明白，安德烈。他们把你抓走了！你是怎么……还是你是彼得？我糊涂了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.27361} 抓了又放了，哈哈！这世上没有哪堵墙能关住安德烈·斯塔马京。审判官以为自己骗过了死神。哈，他错了——我们还没完！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.13742} 你越狱之后就直接回酒馆？你疯了吗？他们第一个就会来这里找你。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.10028} 真要躲，就躲在众目睽睽之下。审判官那群走狗以为我会爬走，找个地方缩起来——炉子底下、长凳底下，像只老鼠。可我就在这儿！让他们来。这回我带着我那把好刀——谁来我就割谁的喉咙。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.28059} 行吧……那你在这儿做什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.6369} 当然是庆祝我逃出来，还能做什么？审判官是活下来了，但也只是暂时。我不会让他就这么走进夜里。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.56753} 我不想扫你的兴，不过你得知道——他们要拆掉多面体。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.41991} 什么？为什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.16115} 看来是它引发了瘟疫。多面体底部的尖桩刺穿了城镇地下的一条暗河。那条河把牛葬坑里的感染带了上来。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.35067} 你是在法尔哈德的日记里读到的？那东西也能信！不管这里发生了什么，多面体没有罪。再说，他们也不敢。它扎进大地太深了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.4381} 你的造物杀了成千上万的人。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.57368} 为了让它立在那里，我可以杀上几万人。你想说什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.53737} 如果它被拆了，你会怎么做？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.18142} 我会把动手的人钉上十字架。题名就叫“升天的污秽”。再用那些本可以阻止却没能阻止这一切的人的尸体，铺成装置的地基。世上没有哪支军队能拦住我。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.6643} 我本想说你口气太大……可你确实做得出来。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.22849} 你要打败的正是一整支军队。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.59611} ……幸好，我不会让他们拿多面体祭刀。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.25759} 不。我亲自找到了地下的血。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.19752} 那又怎样？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.34127} 你现在只关心这个？你难道不知道他们要拆掉多面体？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.57663} 我腿脚很快，虽然看着不像。你在这儿干什么？你以为路障能挡住审判团？他们会来抓你的。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.52666} 丹科夫斯基，你也在！坐下，和我们喝一杯。我还特意调了杯鸡尾酒——“卡尔明斯基之喉”。秘方。喝的时候小心：杯子里有一片镜子碎片。配方的一部分。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.36581} 你疯了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.17062} 你这样夸我！不过谢谢。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Andrey_Final.30465} 他们会追捕你的，安德烈。你现在是审判团的头号目标。
