{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.49584} 丹科夫斯基！你准点得像罪孽——在一局脏牌里，像那张赢牌一样冒出来。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.10608} 为什么每次我一来，总有人在砸你的门？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.29889} 这叫稳定，老兄！一个无赖总会分出最后一撮东西。那你来我们这个小窝做什么——来告别的？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.24626} 来道别。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.48363} 那就再会。别拥抱——免得你首都来的跳蚤换船跳到我身上。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.11602} 保重，格里夫。下次他们再闯进来，我就帮不上忙了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.2181} 我也不会在这儿待太久了。就这样——这摊买卖我不干了。风险太多，会把人的肝都腌坏。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.48428} 是，是。听起来非常可信。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.63114} 真的？你真不干了？那你接下来做什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.7678} 我从小到大唯一想做的，就是躺在沙发上，什么该死的事都不干。估计这回终于能试试了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.46609} 那小镇怎么办？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.18003} 小镇会撑住的。我们又不是头一回。它就像杂草，连根拔了也会爬回来，这混账东西。五年前那场瘟疫我们都熬过来了——这次也能熬过去，你等着瞧。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.54962} 要是拯救小镇的唯一办法，是拆掉多面体呢？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.12280} 他们会把它拆了，再建一个。我本来也不喜欢那个天上狗窝。整玩意儿就是一场纸板搭出来的荒唐闹剧。小镇是人。要是在人和闹剧之间选——那答案自己就出来了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.7221} 同意。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.12032} 我听过很多人形容多面体，但“天上狗窝”还是第一次。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.60728} 借我一点你那种乐观吧，格里夫。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.43038} 我要是真有跳蚤，它们早就在仓库安家了——我来这儿来得太勤。不管怎样，你会沾上的。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.12028} 你为什么这么想？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Grif_Final.42567} 你脸上写着呢。那就再会吧。还像初次舞会上的新姑娘一样磨蹭什么？别拥抱——免得你首都来的跳蚤换船跳到我身上。
