{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.61362} 那里会有金色尖塔。细得近乎透明的针会刺穿天空，永无止境地折磨它，不让它安歇。  它们之间本也会有你的位置，恩-丹尼尔——当然，前提是你敢踏进未来之船。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.12029} 这些金色尖塔会立在哪里？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.59204} 当然是在河对岸的小镇！旧镇自有它迷人的地方，但它只是第一步。如今是时候攀得更高，到下一层去，建造一座没有无聊与法则的小镇。一座我们不会因真正的奇迹而羞愧的小镇！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.10738} 谁来建造它？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.27904} 征兆者中有许多才华出众的年轻人——城里最好的头脑，最伟大的才能。但最重要的是，他们都被颤抖的不安吞没。那些渴望飞升的人，那些准备刺穿天穹，让至高天的光从裂口倾泻而下的人！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.54125} 那多面体呢？你不留下来看它的命运走到最后吗？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.56344} 为什么要留下？你会保护它。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.8322} 我不确定。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.22357} 你想说什么？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.2003} 我不确定自己能不能救下多面体。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.52501} 无论如何，那也会是你和西蒙叔叔的失败——不是我的。近几日，我胸中长出了一株紫菀——一朵燃烧的花，伸向猩红的星。它的召唤在我耳边轰鸣。加入我吧，只要你也准备好听见它，准备好追随它。但只有在你准备好时。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.45896} 我不确定自己想不想救多面体。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.34588} 你会嫁给小弗拉德吗？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.22929} 我们两家的王朝婚姻会通过卡斯帕和维多利亚安排。我没有这样的义务。况且我也没有被弗拉德迷住到愿意把一生系在他身上。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.11696} 也许你需要与你同等尺度的人，至少也要更接近你的尺度。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.31381} 两天前，我曾在你身上看见那个人。我非常爱你……你不知道吗？但近几日，我胸中长出了一株紫菀——一朵燃烧的花，伸向猩红的星。它的召唤在我耳边轰鸣。加入我吧，只要你也准备好听见它，准备好追随它。但只有在你准备好时。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.34186} 那要取决于……许多情势。我还没有被迷住到渴望那桩婚姻。但公牛企业不会消失，我们两家的联结或许是必要的。我一直知道，自己可能需要作出这样的牺牲。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.48045} 我想和你一起走。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.39936} 两天前，我会伏在你脚边，祈求你的垂青。我非常爱你……你不知道吗？但近几日，我胸中长出了一株紫菀——一朵燃烧的花，伸向猩红的星。它的召唤在我耳边轰鸣。加入我吧，只要你也准备好听见它，准备好追随它。但只有在你准备好时。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.59786} 我注意到了你的感情。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.58853} 而你什么也没做？哦——若你踏进那条船，我会击碎你冰冷的甲胄……从你身上牵出激情的弦。可惜你不会踏进去。也罢。我会为自己另找一位同行者。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.26669} 祝你好运。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.15383} 你的星辰不是我的星辰。但我祝你安好。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.48471} 原来女主人们是这样的……
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.39695} 那谁来建这座小镇？斯塔马京兄弟已经死了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.46001} 这些野心很适合你。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Maria_Final.45309} 为什么要这样残酷地对待可怜的天空？
