{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.46561} 是你吗，医生？别把鼻子伸到仓库区去——那里现在是真烧起来了。不过我们快赢了！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.54709} 嗯。怪了——我今天没听说仓库那边出了乱子。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.58231} 哈——那群魔鬼藏起来了，是吧？我们会把他们熏出来，格里夫那帮人。仓库会归我们。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.62965} 你们要赢过谁？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.9991} 当然是格里夫那帮人！那些小魔鬼躲着呢。我们很快就会把他们赶走，仓库会归我们。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.6518} 你倒是乐观。你们到底为什么要仓库——你觉得这个镇子撑得住？也许明天它就不存在了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.63157} 只要我们还在，镇子也会在！他们很快就会拆掉塔——一切都会顺得像抹了油。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.50325} 你怎么知道他们要拆毁多面体的计划？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.44720} 从早上起人人都在嚷嚷——镇子小，风声比子弹飞得还快。我去过那里——我自己走过那些棱面。我确信那全是把戏。我早就告诉过所有人：一切祸事都从塔里来。有人听了吗？他们本来一开始就该听，而不是站在那儿耳朵打扇。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.17577} 所以你很高兴他们要把它拆掉？
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.11288} 我去过那里——我自己走过那些棱面。我确信那全是把戏。我早就告诉过所有人：一切祸事都从塔里来。有人听了吗？他们本来一开始就该听，而不是站在那儿耳朵打扇。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.20321} 我不觉得推倒那座塔真能带来什么实质变化。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.49529} 他们拆了，我们就知道了！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.24918} 是啊——我们会知道。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.64076} 也可能不会。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.52647} 稳着点，头领。在我看，权力已经冲昏你的头了。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.52462} 别替我担心，医生！我生来就该握这种权力。你自己别染病就行——还有，等他们开始拆塔的时候，别站在塔底下。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.59156} 我会尽力。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.1617} 我不会染病。它就是沾不上我。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.5233} 你进去过塔——却没像其他人一样被它迷住？真令人惊讶。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.58073} 我不喜欢被迷住。被哄睡，被人往眼里撒灰——那都是为了让我看不见真相。纠正不公，要在真正的生活里，就在这里——不在编出来的棱面和想象的世界里！
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.24519} 你长大得太快了，头领。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.12282} 可我还是想知道：如果那些棱面里的世界并非想象……
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.54494} 我希望你能纠正许多不公。祝你好运，诺特金。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.65048} 格里夫那帮人里有个大恶棍——大麦。他把我们的人压榨得够狠。不过酒馆里他们发了誓，要跟他刀对刀。我也会去，只是我的伤不准。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.5531} 我看你凶得很。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.63700} 受伤的野兽抵得上两头——差不多是这话。仓库会归我们，医生，你等着看！他们很快就会拆掉塔——一切都会顺得像抹了油。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.37877} 伤？你看起来完全健康。我什么也没看出来。
{Dialogs2.Days.Day12.Day12_Q15_MyBranchIsCalled.Day12_Q15_Notkin_Final.36620} 藏着不给你看——免得你又要救治。受伤的野兽抵得上两头——差不多是这话。仓库会归我们，医生，你等着看！他们很快就会拆掉塔——一切都会顺得像抹了油。
