{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39940} 丹科夫斯基，我的朋友！我看你又被戏剧结构绊倒了？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.29048} 我真糊涂。没被戏剧法绊倒，就又踩进了喜剧里。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.10368} 戏剧中一条根本的不易法则：终场证明全剧！第一幕再完美，你把观众逼到落泪、癫狂多少次也无妨——一出戏的价值终究只看它的终场。而你的终场，我的朋友，远谈不上光彩。唉。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.55784} 我倒没在你的哑剧里见过什么光彩的终场。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.2240} 你走了这样艰辛的一条路——结果只撞上死胡同。你不知道该做什么，也不知道该去哪里——承认吧。小镇的命运今日就要决定——但只有那些确切知道自己想要什么的人，才有资格决定。你没有收到邀请。这出戏已经到头了。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.51032} 恐怕我们的“戏”，马克，从一开始就注定如此。瘟疫故事不会有幸福结局。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.358} 好的结局不必是幸福的，医生。但是！它必须鲜明，必须有表现力。而你，我恐怕，正走向一个更像静场的结局。没有喝彩，观众只会困惑地低声议论。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.49173} 你到底在鬼扯什么？！
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.25548} 你昨天就该有所行动。多亏了你，小镇的确尽可能久地活了下来，可如果英雄在结尾被幕布缠住，又有什么用？你的终场不是号角齐鸣，而是一支悲哀的长号，学者。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.30268} 手里有支长号，也胜过新坟上空的号角。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.41562} 很好，你的尖舌头还没丢。可是——你真想让它这样结束吗？明明有一个选择就在伸手可及之处。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.36293} 我累了。我只想让这一切结束。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.46916} 嗯。我不骗你——你的真相在小镇里等着。你靠艰苦劳作赢得了它！严格说来，你可以走出去，然后……随机找到它。你能猜出地图上哪个没有标记的地点才是正确的吗？但如果你准备得更充分——你会全副武装地抵达，像胜利者一样，清楚知道该往哪里去。所以我建议你重演几场戏。不过到头来，选择在你。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.10534} 我会把一切重演到对我有利。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.20381} 现在就告诉我，马克！你知道我该做什么。那就直说。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.13914} 授人以鱼，一日得饱。授人以三重网，或得饱腹，或得命数。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.41999} 三重网？柳里切娃家？希望这不是恶作剧。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.61206} 谢谢。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.2496} 今天我还是会试着不用你那些烂提示，自己找路。我甚至挺喜欢这样。能动动脑子。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.28754} 我还没决定。我可以先向小镇告别，之后再选。总不会我一出门它就死吧？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.55561} 不，马克，这还不是终场。我们还会在这里，在同一个地方再见，到时候你会对我说完全不同的话。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.40745} 所以这个选择——今天已经与我无缘了？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.39641} 你就是为这个来的？为说一句明摆着的话？这一切有什么意义？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.49271} 这正是我要问你的，学者：这一切有什么意义？如果你不知道该做什么，今天为什么还要醒来？到了终场，不会有人给你提示。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.44676} 没有提示，我就什么也找不到？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.10974} 那你为什么不给我一点有用的建议，马克？人人都是评论家。
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.38719} 我的建议是：寻找答案。逼它们现身。阻止不可阻止之物。用你那无价的知识，该死！只有这样，你的故事才会从沉闷苦役变成真正的悲剧，并在终场赢得喝彩！
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.34939} ……但那些都已经过去了，对吗？今天什么也做不了了？
{Dialogs2.Days.Day12.Day12_Q2_LastDay.Day12_Q2_Immortell_NoHints.27610} 可这还不是结束。我还剩整整一天！
