{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.17254} 午安，学者丹科夫斯基。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.20341} 莉莉奇审判官？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.47508} 是。我本以为我们会早一天面对面见到彼此。昨天我有时间，也有意愿向你解释自己。今天，我必须省去冗长的开场白。我只说一点：我和你一样，已经隐姓埋名地在镇上待了整整十二天，而且我决意要救下它。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.23512} 所以你就是我听说过许多次的那位来自首都的神秘客人？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.4893} 大概是。我们直入正题，好吗？我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.51959} 我知道你在这里。从卡尔明斯基那里。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.7608} 我没指望自己能完全避开所有重要棋子的注意。我们直入正题，好吗？我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.36643} 见到你让我很意外。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.51112} 隐姓埋名有它的好处。我们直入正题，好吗？我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.33930} 请原谅，可是……你受伤了。需要医疗处理吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.33235} 昨天我们还有许多话没说完，但是……请原谅，你受伤了。需要医疗处理吗？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.41389} 是，受伤了。不，不需要。我已经找到帮助了。暗巷里的袭击——谁都可能遇上。众所周知，小镇有许多混乱的街区。也众所周知，卡尔明斯基就在镇上，只要有合适的命令，他就有能力把那些街区塞满他的人。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.26363} 卡尔明斯基想杀你？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.10018} 借镇上的局势作掩护——一个简洁到卓越的算计。但你也看见了，它没成，我还活着。不过无妨。我和卡尔明斯基的关系不是这场谈话的主题。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.5960} 那我们的主题是什么？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.11439} 我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.44223} 我希望你不是在逞强，而是真的不需要医疗处理。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.5112} 可混乱的街区确实很多。而你又是隐姓埋名。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.36427} 那确实是非常成功的算计，简洁到卓越。但你也看见了，它没成，我还活着。不过无妨。我和卡尔明斯基的关系不是这场谈话的主题。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.6041} 昨天我们还有许多话没说完。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.16472} 正是如此。而今天已经没有寒暄的时间了——我们直入正题。我已经最终查明了沙疫暴发的原因。第一：小镇地下有公牛血的河流，是细菌的理想滋生地。第二：多面体的桩柱刺穿到了这样一条河，正在把血泵到地表。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.28536} 你怎么知道这些？
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.41294} 这个谜题并不简单，但简单的谜题激不起兴味。第二天——也就是我们两人在这座小镇的共同第二天——我设法和多面体的创造者谈了一次。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.26408} 什么？可第二天几乎还没有人知道瘟疫！
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.12360} 首先，这不是真的。见证过第一次暴发的普通镇民已经在低声争论已故伊西多·布拉赫住宅墙壁的状况。其次，我没说彼得·斯塔马京和我谈的是瘟疫。我们谈的是多面体。
{Dialogs2.Days.Day12.Day12_Q4_AglayaHasAlreadyWon.Day12_Q4_Aglaya_VillainSpeech.29075} 彼得不喜欢谈它。你怎么让他开口的？
