{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.14151} 这要求过分吗？只再多一个小时……只要小小三十分钟。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.9079} 这里发生什么？大教堂关了？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.3003} 关了，亲爱的。从昨天起就关了。大教堂的门像眼皮，它合上了，为西蒙哀悼，哀悼完之前不让任何人进去。灾难！我不知道该怎么办……时间，我们现在到哪儿去弄时间？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.25234} 我不明白。你在和大教堂说话？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.37981} 当然，我还能和谁说？可现在没用了，一点用也没有。大教堂的门像眼皮，它合上了，为西蒙哀悼，哀悼完之前不让任何人进去。灾难！我不知道该怎么办……时间，我们现在到哪儿去弄时间？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.41587} 我没听错吧？你在向大教堂要时间？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.41756} 哦，你是新来的，对吧？难怪你什么都不明白。它制造时间，我们的大教堂。除此之外我还能向它要什么？它除了时间什么都不给。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.51033} 我听说过。但我仍然无法理解它“制造时间”是什么意思。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.48878} 那你为什么要时间？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.28452} 啊？时间还会嫌多吗？自从我开始求它，我的一天就越来越长了。我的私人一天已经有三十二小时。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.33786} 你不会真指望我相信这个吧？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.35051} 你有孩子吗，年轻人？我有五个。要把所有事都顾上，一天至少得再拍上四十个小时。我现在有三十二个，可还是得一直赶来赶去！
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.46866} 你为什么需要一天三十二小时？
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.47993} 哦，你这小疯人！有什么不明白的？第一，我能多活些时候，这已经不坏。第二，我有五个孩子，你知道。要把所有事都顾上，一天至少得再拍上四十个小时。我现在有三十二个，可还是得一直赶来赶去！
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.62916} 时间一去不返。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.54356} 如果大教堂忽然回答，也请替我说句好话。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.24447} 我有药片。它们不会给你的一天加钟点，但能帮你治治谵妄。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.2132} 其实，我自己也能用点没入账的时间。
{Dialogs2.Days.Day2.Day2_Q3_KnockinOnHavensDoor.Day2_Q3_Woman_NoEntryAtAll.10834} 哦，它确实有用，真的有用。我有五个孩子，你知道。要把所有事都顾上，一天至少得再拍上四十个小时。我现在有三十二个，可还是得一直赶来赶去！
