{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.21678} 我的脸放在你口袋里很舒服。可没有它，我很冷。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.14007} 呃。真说不好哪个更吓人——你们戴着“脸”的时候，还是不戴的时候。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.18913} 我们很轻。因为我们是不被需要的。我们有甲，所以风不会把我们吹散。你那不被需要的交换物也像甲一样。它还记得你，强而沉。它能抓住。我的脸在你口袋里觉得很重——你记得我存在。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.30483} 这种东西谁忘得了！尤其是它还没有“脸”。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.31999} 你在找那个看过人巢的人。是我。但你不能生我的气。什么也没碰，什么也没毁。除了在我之前就已经毁掉的东西。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.50392} 那所房子的主人死了。有人认为你就是凶手。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.48319} 刻薄的念头。懂得脉线的人不会这样想我们。我需要知道他怎么样了。现在我知道了：不好。死了。我很难过。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.58254} 节哀……我这是在对自己的幻觉说话。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.37027} 懂得脉线的人知道怎样记住我们。像清晨的梦。他用大的交换物换我们小的，好让我们有东西编织巢，做成甲。对他来说，我们不是不被需要的。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.5707} 我想我不该惊讶。毕竟，伊西多尔是草原人。几乎像某种金族人的大祭司。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.48823} 懂得脉线的人把我们重新缝回世界。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.34610} 所以关于凶手在房子附近潜伏这条线索，是死路一条……你只是想，呃，去探望伊西多尔？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.9859} 不是探望。我必须查看。好不再担心。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.48222} 你有担心的理由吗？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.6939} 懂得脉线的人来请求一件事。我们给了。之后他很虚弱，所以我们必须送他回巢。那里有人等着。懂得脉线的人说：不是敌人，没有威胁。 可仍然担心。现在平静了，但也悲伤。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.21405} 我理一下。你担心，是因为有人在伊西多尔自己的屋子里等他？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.29694} 在他虚弱的时候。虚弱的人一遇到麻烦就撑不住。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.52328} 有道理。那他的请求是什么？伊西多尔想从你们这里得到什么？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.31727} 引路。带他和他的朋友去很远、很远的草原深处。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.15237} 什么朋友？谁跟着伊西多尔去了草原深处？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.31986} 该怎么说呢？我们像冬天的草原，裸露、冻结。懂得脉线的人像春天——满是许诺，孕着新事物。你像现在这样——迷乱、寒冷，却还在抵抗。那个朋友是……冬、春、夏、秋同时存在。我们从没见过这样的人。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.53815} 这上不了法庭，但我想我知道西蒙死前在做什么了。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.49266} 我不知道那个朋友现在在哪里。他们在镇上分道而行。别问他们去了哪里。很远。你到不了。你很虚弱，而且你没有我们。这样也好：那是属于别人的秘密。你不能毁掉它，就像你不能毁掉别人的巢。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.55484} 但你知道路，对吗？你把路指给了伊西多尔和跟他同行的那个人？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.17751} 你看起来像个聪明东西。懂得脉线的人总能在草原上找到自己的路。想一想。为什么有人要带上不被需要的东西？
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.17428} 我不知道。
{Dialogs2.Days.Day2.Day2_Q6_ChasingTheAlbino.Day2_Q6_AlbinoFaceless_Isidor.40354} 你知道得足够多，足以明白。你知道人类靠近我们是什么感觉。我不会再告诉你别的——为了保护另一个秘密的巢。
