{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.59478} 你相当执着，学者。这些墙仍在为西蒙哀悼。这座宅邸还没准备好接待客人。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.323} 我需要和西蒙谈谈。如果做不到，我就只能退而求其次，找最了解他的人。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.2991} 也就是说，物有所值？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.15958} 是的。我是个忙人，领导着一家开创性的研究实验室，而它正勉强维持。我放下一切，跑来这个穷乡僻壤——难道我没有权利期待哪怕最低限度的成果吗？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.11667} 您越界了，学者。您毫不关心我们的悲痛，那我又为何要关心您在首都的麻烦？请更审慎地措辞。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.30866} 别讥讽我。我已经觉得自己够像个蠢货了。一位著名死亡学家，竟然追着幽灵跑到这里！
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.34641} 我不知道该怎么回答你，格奥尔基。在科学兴趣面前故弄玄虚，并非我的强项。是的，即使死去的西蒙，仍然具有科学价值。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.5940} 小心，学者。诚实固然是上策，但得体也自有其回报。您站在一位逝者的家中，正对他的兄弟说话。请更审慎地措辞。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.50565} 我选择说……我与你们一同哀悼。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.27411} 您哀悼的是一项没能由您完成的发现。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.22420} 的确。但研究他的长寿，不正是西蒙自己的愿望吗？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.32354} 您对他人秘密的顽固追索令人厌烦，几乎近于无礼。我相信您的动机是真诚的，学者，但现在还太早。请收敛您的热忱，让我们先接受这份丧失。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.65079} 接受你们的丧失——还是掩盖西蒙的遗体被人从你们手中偷走这一事实？不用反驳。我知道。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.3907} 所以我就是为了这个，才离开首都，跑到这座该死的小镇来？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.19037} 我不知道该怎么和你说话。我本不想冒犯你，但显然我又冒犯了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.37866} 那我现在当然更没可能了。我知道西蒙的遗体被偷走了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.8013} 我选择说……纪念西蒙的方式，其中之一，就是研究他生命的现象，理解他的工作。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.23457} 西蒙的工作并不都在炉宅这里。它就在我们四周，在街上每个人的眼睛里。小镇本身就是西蒙的工作。您研究过小镇了吗，学者？
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.26533} 我才刚开始。但我知道它是一座异乎寻常的地方，由异乎寻常的人建成。不过我是外来者。我请求你帮我揭开小镇的秘密。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.11405} 我承认，我对小镇本身兴趣不大。我不是民族志学者，不是历史学家，也不是，比方说，建筑工人。我是医生。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.41062} 我已经清楚告诉过您，小镇对西蒙来说比任何事都重要。而您仍固执于自己的无知。因为您把西蒙视作客体，而不是一个人。仅仅是一具身体。请在您脱口说出更冒犯人的话之前离开炉宅。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.604} 既然你提到了……格奥尔基，我知道西蒙的遗体被偷走了。
{Dialogs2.Days.Day2.Day2_Q8_KainsReconciliation.Day2_Q8_Georgiy_InnerPeace.796} 我选择说……我厌倦了您那些乡下式的寒暄。
