{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.1786} 丹科夫斯基，又是你。我能帮你什么？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.9994} 我去过大教堂。我见到了无法解释的事物……
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.12347} 所以你已经认识了那些不可能之物。恭喜。只有第一次最难。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.19474} 我有种感觉，这座镇子全是由不可能之物组成的。还有令人无法忍受的人。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.16366} 它不止由这些组成，不过你思考的方向是对的，是的。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.22948} 瘟疫会不会也是因为那些不可能之物才在这里？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.21572} 我能问问这个假设基于什么吗？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.32282} 只是预感。如果大教堂生产时间，那也许多面体也生产着……某种东西。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.15597} 那么，那些不可能之物造出来究竟是为了什么？它们的目的是什么？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.27825} 说真的，丹科夫斯基。你是塔纳提卡的创始人。我本以为，最该理解一切不可能之物重要性的就是你。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.24998} 塔纳提卡有目的。非常精确，而且在我看来完全可以达成。不可能之物的目的是什么？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.6641} 不可能之物也有精确且可达成的目的，和你的科学一样。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.12713} 这没有回答我的问题。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.6335} 为什么没有？答案只是要求你自己付出努力。内在的劳作。不可能之物帮助我们更好地理解自己是谁。这是它们最主要的价值。我们因此建造它们。我们因此在这里。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.19653} 有人告诉我梦构师的事。就是建造那些……物件的建筑师团队。其中一位——尤利娅·柳里切娃——你现在想把她逐出镇子。为什么？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.1914} 我去过枷索，和尤利娅·柳里切娃谈过。她说你想把她逐出镇子。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.22108} 逐出这个词太重了。我们只是已经不再需要她的思考方式。她不再对我们负有任何义务，因此也就没有理由继续留在镇上。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.5602} 我可以知道原因吗？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.1666} 不可以。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.15230} 就这样？只是“不可以”？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.15093} 你还想听什么？我可以详细一点：“不，你不能问我这种问题。”这样好些吗？
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.12649} 你倒是很会替别人的人生下命令。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.17246} 是尤利娅这么告诉你的？我明白。她受伤了。当欲望和现实相撞时，味道很苦。但现实是顽固之物。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.25848} 你今天真是雄辩本身。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.20459} 是的，那就叫逐出。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.22534} 尤利娅是这么说的。我明白，她受伤了。当欲望和现实相撞时，味道很苦。但现实是顽固之物。
{Dialogs2.Days.Day3.Day3_Q11_LurichevaDefence.Day3_Q11_Kains_Mittelspiel.28062} 可如果她不想走呢？她想留下。
