{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9592} 啊。学者……你为什么在这里？这算是家事。你有家人吗，学者？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.9746} 有人告诉我市政厅有会议，而且他们在等我。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.29596} 瘟疫是家族事务，是吗？那你们家族一定大得惊人。这里住着几千人？一万？一万二？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.20112} 恕我直言，学士。你……这里不需要你……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.25605} 我在首都有一个家。我的实验室就是我的家族。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.1510} 把事业当成家族……这倒熟悉。那么回你的首都去吧……回你的家族。一路顺风。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28944} 我倒是很愿意，但镇子已经封闭。正在隔离。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.16438} 我的耐心有限，boös（兄长）。我坚持要求你给予我们的客人应有的尊重。邀请他参加会议的人是我。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28227} 把外来者请进家门。啧。你确定他真有你说的那样……博学？他专攻的正是我们……共同的灾厄吗？
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.28349} 请别告诉我你忘了第一次暴发时发生了什么。几乎没人活下来。不错，我们还不能确定这就是同一种沙热，但如果是呢？伊西多尔不在了。我们需要医生，就像需要空气。任何医生。否则……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.19041} 所以，受尊敬的萨布罗夫总督……挑了他看见的第一个……
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.11596} 请原谅我打断。我只是想让你们知道，我就站在这里，而且听得一清二楚。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.2246} 那我告辞了。我不是来受辱的。
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.3358} 拜托，少摆架子了。这座镇子连医院都没有，你们还想挑医生！
{Dialogs2.Days.Day3.Day3_Q2_MeetingInAdministration.Day3_Q2_SaburovAndOlgimskiy.22583} 够了。这种争吵配不上行动之人。争论只会带来灾难，除此之外什么也没有。
