{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.11905} 丹科夫斯基。你回来了。这说明我赢了。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.20713} 赢了什么？又赢了谁？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.31420} 我的助手确信你会试图逃离小镇。我们甚至打了个赌。可你回来了，这就说明我的助手欠我一笔。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.14436} 钱？先别急着花你的赌金。今天还远没结束，我有的是时间筹划逃走。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.15742} 原来我的名声就是这样。无一日不破枷锁。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.14414} 不如我们把赌金分了？我这人慷慨，只拿一半。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.21696} 要是你救下这座小镇，我会把赌金一分不少地交给你。现在，先由我保管。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.21030} 我原以为奥尔金斯基才是这镇上的头号生意人。现在看来，你也半点不差。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.15176} 玩笑到此为止。你检查过那个舞女了，对吧？诊断结果是什么？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.16216} 成交。这题目很适合写进我的回忆录：《我是如何用十枚硬币拯救小镇的》。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.22212} 你还没开始救它，倒已经在写回忆录了。我欣赏你的乐观，但我们得先划清工作范围。你检查过那个舞女了吗？诊断结果是什么？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.841} 我检查过她……坦白说，那种疫苗保护不了任何人。受试者已经染上瘟疫。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.22744} 我也有这种怀疑。可我还希望……你确定吗，丹科夫斯基？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.4957} 医学术语叫“并发疾病”。一种病会拖慢另一种病的进程。那名舞女患的并不只是沙热，所以她才还活着。可惜，她时日无多了。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.19524} 想听我的意见吗？如果由我负责防疫，我第一件事就是停止用那种“死粥”给人接种。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.30173} 我明白了……听着，丹科夫斯基。我希望你接管防疫应急指挥部。它会赋予你发布法令的权力——有关隔离措施、补给调度，以及一切攸关我们存亡的事。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.31736} 正合我意。我已经厌倦了看别人做决定后的结果。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.17590} 我们需要一个敢做决定的医生。就像五年前伊西多尔·布拉赫那样。不过首先，我们得通知小弗拉德，他被撤职了。他应当把一切移交给你。告诉他，这是我的个人命令。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.62386} 我不想浪费任何时间——但交接是必要的，你说得对。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.33699} 不要拖延——我们还得重组应急指挥部的运作。告诉我，丹科夫斯基，你起步需要什么？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.25214} 我需要建一所医院。我需要场地。还需要人手。我是说护理员，不是病人。病人我也需要，不过那东西不会短缺。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.17605} 我们会给你配护理员；志愿者今天就会到位。场地会棘手些。不是随便哪栋楼都能用，对吧？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.57114} 我有哪些选择？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.9883} 我能想到的地方列在这里：教堂、剧院、蚁巢，还有多面体。它们都很大，容得下许多人，尽管本来不是为这种用途建的。你应该亲自去看看，哪一个能用。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.63739} 这些建筑我几乎都见过了。可惜，它们不适合做医院。不过剧院看起来倒有希望。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.8540} 多面体可以从名单上划掉。我去过那里，它岌岌可危。甚至会吱呀作响。我去查查其他地方。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.59662} 教堂和多面体都可以从名单上划掉。光是待在教堂里就折磨人的神经，而多面体看起来随时会倒。我再去看看别的可能。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.31164} 教堂可以从名单上划掉。我去过那里，不行。那地方古怪得很，光是待在里面就折磨人的神经。我再去看看别的可能。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.58194} 好吧……有些地方我瞥过一眼，但没真正留心。而且我必须尽快作出选择。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.1122} 想好之后回市政厅来。剩下的细节我们再定：设备、运作规程……同时，我会去找些人手。决策者不必事事亲自照看。没必要把自己分得太散。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.2204} 人手当然会有用。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.49478} 谢谢你的配合，萨布罗夫。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.21487} 我这就动身。先去告诉小奥尔金斯基，他不会再签署那些危险法令了。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.19231} 要宽敞，有给排水，至少要能取得干净的水。最好有窗户，便于通风。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.42467} 我想亲自看着那人的眼睛。草原野蛮人的“死粥”……它本可以毁掉整座小镇。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.5575} 我不太确定……这实际上意味着要治理整座小镇。我没有这个资格。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.14756} “划清”？你说话像参谋军官！别把军务那一套带到这里来，我们手头的麻烦已经够多了。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.14275} 别纠结措辞。局势很严重，几乎就是战时。那个舞女怎么样？她健康吗？
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.19166} 我当然回来了。仿佛我还有选择似的。
{Dialogs2.Days.Day3.Day3_Q7_SaburovAboutHospital.Day3_Q7_Saburov_Hospital.11282} 这么说，你是个宿命论者？我倒没料到。你检查过那个舞女了，对吧？诊断结果是什么？
