{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.24123} 要喝点水吗？大多数人从大教堂出来之后都口干舌燥。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.6027} 无论如何，这里都不太适合做医院。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.20313} “拜访”？更像一场远行。那是什么？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.6326} 你拜访了教堂，教堂也拜访了你。喝点水。你会好受些。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.25065} 我不想喝水。我想回家——离这疯人院越远越好。教堂会“生产”时间，还让人产生幻觉。我想醒来，然后忘掉这一切。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.26812} 这是脱水在替你说话。可惜，规矩就是规矩。访客不得知道等待自己的是什么。访客用水付费。教堂从他们身体里抽走水，作为回报赐予他们幻象。你没有唱借来的歌吧？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.30061} 我的喉咙确实干，这点你说对了。你为什么不告诉我里面会发生什么？你该提醒人，我可能会心脏病发作。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.23313} 破坏一切吗？绝不。访客需要亲自经历。这就是规矩。你在里面没唱借来的歌吧？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.18369} 没有。我也没什么机会唱。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.9651} 你做得很好。有些人吓坏了，会祈祷，会呼唤他们的神，那就是唱借来的歌。绝对禁止。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.23918} 没有，但我觉得我浪费了些时间。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.20879} 没关系。只是一点点的话，教堂会原谅浪费时间。毕竟，你见证了它创造自身的过程。这才重要。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.12746} 我真的不明白。它是怎么做到的？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.29624} 嗯，奇怪。它刚才明明就给你看了它怎么做到。要再试一次吗？第二次你也许会懂得更清楚。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.26488} 不，不，不。非常感谢。一次就够了。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.1389} 我不是说现在。马上再试是禁止的。那会违反第三条规矩：不得浪费时间。你也脱水了，再和教堂谈一次，大概会把你变成木乃伊。皱巴巴的葡萄干。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.18980} 其实我愿意。为什么不呢？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.6283} 记住，马上再试是禁止的。那会违反第三条规矩：不得浪费时间。你也脱水了，再和教堂谈一次，大概会把你变成木乃伊。皱巴巴的葡萄干。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.593} 这座镇还在不断让我惊讶。多面体，教堂，静水。这些建筑里还藏着什么奇观？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.31289} 我只是看守人。这个，你该去问造梦匠。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.19061} 他们是谁，一个乐队吗？演奏什么乐器？希望他们不唱借来的歌。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.5996} 什么造梦匠？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.13194} 造梦匠是创造这座镇的建筑师团队。法尔哈德建了教堂和静水。尤利娅·柳里切娃规划了街道。他们的领袖是西蒙·凯恩。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.14900} 所以你认识西蒙？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.25697} ...
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.22300} 你为什么不回答？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.26298} 拜访教堂耗尽了你。这是预料之中的。别忘了喝点水。很遗憾，几乎所有造梦匠如今都死了。只剩尤利娅·柳里切娃还在。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.14046} 真是尴尬的沉默。看来你不大想回答我。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.22791} 法尔哈德死了，我见过他的坟。现在也没什么能问他的了。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.13720} 确实如此。但我仍建议你和他谈谈。他是我见过最有天赋的人之一。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.29758} 恐怕我不太擅长和死人谈话。镇上没有活着的建筑师能向我解释教堂的机制吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.23791} 有。尤利娅·柳里切娃是最后一个活着的造梦匠。她还在镇上，住在一座叫“羁绊”的宅邸里。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.26119} 那就找柳里切娃。谢谢。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.13673} 谢谢。教堂已经关闭了许多天，唱着自己的哀伤。我很高兴，我们终于能再次为少数愿意进入的人打开它的门。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.904} 它为什么关闭？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.21186} 教堂在哀悼它的一位创造者，西蒙·凯恩。在那段时间里，它对所有活人关闭了门。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.12593} 那它今天为什么为我打开？我不是活着吗？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.13979} 我无法知道。也许教堂在你身上看见了什么，决定让你进去。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.22046} 这座镇……没人能给出一句直话。一座不可能之物和含混隐喻组成的镇。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.21112} 我什么都没听懂，但还是谢谢。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.26985} 我最好走了。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.5614} 如果它关闭了，为什么今天又打开？
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.18583} 我到哪里找他？我是说法尔哈德。
{Dialogs2.Days.Day3.Day3_Q9_CathedralInspection.Day3_Q9_Caretaker_BadTrip.8441} 地下。在墓地。你不会错过他的坟。那是最醒目的一座。
