{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.26318} 我、我们快点离开这里，好吗？求你。在、在有人来，看见我们之前……
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.38105} 你看他的眼睛？现在像玻璃弹珠一样！死人眼睛就该这样吗？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.12807} 嘿，嘿，拿棍子戳他！万一他是在装呢？想骗我们，嗯？没门！
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.20899} 让我过去，我是医生！如果他还有救，我……等等……不，我什么也做不了。这个男孩死了。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.47121} 死、死了？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.4226} 很遗憾，这绝不是装的。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.47605} 死了……死、死、死……
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.12068} 是他们先动手！他们追着我们，把可汗抢走——我们还能怎么办？我们是在自卫！换了谁在我们的位置，都会自卫，对吧？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.51401} 这是……你们干的？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.42030} 是又怎样！我们有权保护自己！他们设伏，把我们关进笼子。他们以为自己比我们高一等？比我们强？现在谁更强！
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.34736} 不、不是我们！不是我！我、我只是把他的猫赶走——它坐在他身上，还冲我嘶叫，我怕它扑上来，然后……
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.49770} 哦，闭嘴吧！你别想这么脱身：他们都说自己的灵魂住在那些动物里。所以你赶走了他的猫，就等于把他的灵魂从身体里扯了出来。你这是给他补了一刀。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.7843} 现在不是讲魔法动物童话的时候。有人刚刚死了——一个孩子刚刚死了！
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.14582} 他的眼睛像玻璃弹珠……是因为他死了吗？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.42668} 你嘀咕什么呢，阿格尼斯？你喜欢弹珠，对吧？要不要我从他眼眶里抠出来给你？当纪念品正好！
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.15789} 喂！别！
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.54892} ……我在睡觉，这只是一场噩梦。孩子们，你们……真是你们干的吗？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.4314} 好极了。这个破镇现在最需要的，正是一场儿童帮派战争。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.16683} 他后脑有伤。嗯。是滑倒摔的，还是被人从背后袭击？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.61342} 你管那么多干什么，先生？快走你的路！不然一只石喙鸟也可能在你后脑勺上啄一下——谁知道呢。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.59290} 才几天，你们就野成这样了？可怜的孩子。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.54461} 你们觉得可汗会同意吗？可汗自愿被关进笼子，是为了避免流血；看看你们做了什么。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.53621} 他、他说得对……可、可汗要是知道有个半灵死了，而且……而且他的灵、灵魂变成猫跑掉了……他不会高兴的……
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.7362} 走开，先生。你说你是医生？那这里没你事了；没人还能让你医了。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.4363} 我看得出来。各种意义上都是。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.51410} 你们这群只会在猎物虚弱又落单时伏击——你们戴着狗面具，行事却像鬣狗。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.16036} 孩子们……我真希望你们现在只是给我演一场戏。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.53172} 我无法相信自己看到、听到的一切。这不可能发生。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.12409} 求你们，我在问你们：这里到底发生了什么？有没有人能把话说清楚？
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.50422} 你们有四个，他只有一个。我看自卫的人是他。
{Dialogs2.Days.Day4.Day4_Q12_ChildrenCrimeScene.Day4_Q12_Dogheads_Redrum.29288} 这里发生了什么？意外？还是……
