{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.41452} 丹科夫斯基医生？Hypat？您在这里。抱歉，我没能待住。人们又焦虑，又渴……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.63553} 哎呀，小姐，你这双漂亮的脚又累着了？你一点也不照顾自己，总忙着帮别人……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.41761} 来得正好，拉拉。我的分析显示这一桶水是干净的。你可以分发出去；你知道现在谁最需要它。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.46914} 真是松了口气！那还不是全完了？可是被感染的水怎么办……就找个地方倒掉吗？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.55518} 那太浪费了。小弗拉德建议用被毁管道里的设备过滤，值得一试。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.36819} 是吗？希望一切顺利，这座小镇不用每一滴水都省着过，多亏了弗拉德……当然也多亏了你，丹科夫斯基医生！真不知道没有你我们该怎么办……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.4149} 喝被污染的水，然后一个区一个区地死过去。我花了半天才阻止你们这么干。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.17313} 该道谢的是我。如果没有这位送水人帮忙，我一整天都得在水桶和静水观星台之间来回奔走。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.33049} 医生，我倒有个主意。总是跑回家找那些试管，不太方便吧？今天还不算坏，至少替你省了些时间。我的车能装下你所有东西，还绰绰有余。以后你会不会需要我？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.32087} 移动化学实验室？想法不错……
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.51069} 实—验—室！真是个体面的词。我给镇民送水，也给你送那些精细玻璃。就像今天说好的：我站在看得见的地方，而且只站在瘟疫不太厉害、也不会撞上抢匪的地方。总比你老跑回静水观星台容易。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.39230} 很好，就这么说定了。及时的帮助，我不能拒绝。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.54374} 那你图什么，希帕特？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.25667} 哎呀，这问题问得！我不擅长漂亮话，就直说吧：我从小就想做点好事。可我生来什么本事也没有，就成了送水人——人人都需要水！现在他们需要什么？医生的帮助，就是这个。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.24454} 所以你想帮助那个帮助别人的人？这很高尚。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.40740} 希帕特是活人之家最可靠的帮手之一。连我父亲都信得过他，让他办差……所以今天我才让他跟着你。我相信你们会配合得很好。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.48247} 明天我就到你那儿去，医生！你可以指望我。今天我最好去收容所帮忙，免得病水出了岔子。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.58383} 听起来合理。你也可以教其他送水人分清干净水和被污染的水。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.57520} 下次见，希帕特。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.53220} 水中有健康。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.12004} 希望你改变主意的速度，不会和你自告奋勇时一样快。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.15292} 那你的本职呢，送水怎么办？
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.22925} 我又没撂下它，是不是？我给镇民送水，也给你送那些精细玻璃。就像今天说好的：我站在看得见的地方，而且只站在瘟疫不太厉害、也不会撞上抢匪的地方。总比你老跑回静水观星台容易。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.36781} 眼下安全饮水很稀缺。让人们记住这一点，节省使用。
{Dialogs2.Days.Day4.Day4_Q16_PoisonedWater.Day4_Q16_LaraAndWaterCarrier_GoodWater.22141} 可它终究还是有的？我是说安全饮水？那被感染的水怎么办……就找个地方倒掉吗？
