{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.45101} 丹科夫斯基？我妈总叫我离虱子、把戏和医生远点。我当然没听。那些打手走干净了？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.36354} 他们不会再来烦你了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.58017} 等等，你怎么把他们赶走的？他们差点把我的门都拆了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.40430} 靠我的三寸不烂之舌。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.29522} 所以他们是专门冲着我来的？因为那次铁路突袭，对吧？我只是想帮忙！我怎么知道巡逻队会搜车厢？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.8957} 左轮手枪是任何逻辑论证里最好的前提。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.254} 等等……你真……哎呀呀。“脑子是朋友，子弹才是兄弟。”他们想要什么？是因为那次铁路突袭，对吧？我只是想帮忙！我怎么知道巡逻队会搜车厢？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.12361} 我听他们把话说完了。很多时候这就够了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.38128} 噗。要不是他们一上来就捅人，我也会听他们说完。所以他们想要什么？是因为那次铁路突袭，对吧？我只是想帮忙！我真不知道巡逻队会搜车厢。我跟你说，我真不知道！
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.39081} 跟铁路突袭无关。那些人以为你杀了西蒙·凯恩。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.33708} 哎，没了他，小镇已经疯得没边了。人们连最后一颗脑珠子都快掉光了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.51462} 也许吧。但他们为什么把这事扣到你头上？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.58238} 他们说西蒙死的那天，你站在炉宅外面偷笑。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.3534} 他们这么跟你说的？西蒙死了，我为什么要偷笑？我跟其他人一样尊敬他。他们觉得是我做掉了他？没了西蒙，小镇已经疯得没边了。人们连最后一颗脑珠子都快掉光了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.40228} 你不如告诉我，他们为什么怀疑你谋杀了西蒙？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.26534} 这就是我要说的，而且是我手里最尖的一点！我根本不知道！人人都急得口吐白沫，非要找个人背锅。今天是我做掉了西蒙，两天前是伊西多被他自己儿子弄死。明天就轮到你了。两笔账都扣你头上，等着瞧吧。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.5818} 你的看法呢？你觉得是谁杀了西蒙？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.5089} 我们镇上的人，没人会碰西蒙一根手指头，这是铁打的事实……来，我拿我牙里的金子跟你赌，是那个外来的狐狸精。那个脸很凶的女人，你见过没有？跟你坐同一列火车来的。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.44249} “脸很凶”？这个描述能套上小镇一半的人。你能说得再具体一点吗？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.26891} 嗯……她穿着首都人的衣服，看你的眼神就像看一块木板上的疙瘩，非得刨平不可。我在车站晃悠的时候见过她。我的人说，她像疹子一样，满镇到处冒。今天在炉宅晃，明天又到斯塔马京的酒馆……走到哪儿都在掏关于西蒙的碎消息。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.17302} 嗯，我也穿着首都人的衣服，也到处打听西蒙的事。那又怎样？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.16288} 哦，你果然能把事扯到自己身上！“莱克申先生准会亲吻自己的倒影。”
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.55974} 我能听到点有意义的东西吗？还是只有更多俗语和说法？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.43817} 她和我有相似之处。这个女人会不会也是来研究西蒙现象的？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.41826} 你的假设让我困惑。如果她杀了他，为什么还要“掏关于他的碎消息”？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.13785} 丹科夫斯基，你比腌西瓜还难办。来，用用脑子。她要的是西蒙的某样东西。她做掉了他，却没拿到想找的东西。现在她像秃鹫一样绕着小镇转，想弄清西蒙把那不知道什么玩意儿藏在哪儿。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.42424} 你和那些把西蒙之死怪到你头上的人有什么区别？你也只是凭空编了套理论。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.54370} 西蒙到底是因为什么神秘物件被杀的？你知道什么吗？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.28543} 俗话说得好，“要是看得清牌，我早就在海边有房了。”我不知道那是什么，但这个消息免费送你。西蒙是唯一撑住这座小镇的东西。他是我们的柱子；柱子一倒，瘟疫就砸到我们头上了。你觉得这是巧合？那你还不如说冬天下雪也是巧合。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.13570} 鸟各随其喙而鸣。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.9974} 不管怎样，一个外地女人到处打听西蒙，这很有意思。我想我该去追查她……
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.50527} 我不记得火车上有这么个人。要么就是你和我对“脸很凶”的理解不一样。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.41966} 那她肯定在别的车厢。她穿着首都人的衣服，看你的眼神就像看一块木板上的疙瘩，非得刨平不可。我在车站晃悠的时候见过她。我的人说，她像疹子一样，满镇到处冒。今天在炉宅晃，明天又到斯塔马京的酒馆……走到哪儿都在掏关于西蒙的碎消息。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.57733} 说话注意点。你的礼貌呢？是“女士”，不是“婆娘”。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.31004} 哎呀，恕我失礼，上流大人。行吧……女士就女士。那个脸很凶的女士。不管怎么说，她看着可真像个狠狐狸精。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.64289} 这么说你见过她？能描述一下吗？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.45854} 你为什么觉得这个女人和西蒙之死有关？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.25838} 她一直在炉宅周围晃，像疹子一样这儿冒一下那儿冒一下，到处掏关于西蒙的碎消息。今天她又去酒馆附近嗅了一圈。我早在车站就注意到她了。穿着首都人的衣服，看你的眼神像在看一块……一块木板上的疙瘩，非得刨平不可。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.20215} 啊，是了。那些逃亡者。你知道，我也试过逃离小镇。幸好我没用你的服务，不然现在就该蹲在市政厅的牢房里了。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.6434} 俗话说，不帮忙就不会招叛徒……我的脖子也搭在里头，计划总会黄。谁知道巡逻队会去搜车厢？那两个人就是因为这个才冲我发疯的？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.53012} 气色不错啊，格里夫。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.31919} 噗！血又不是威士忌，刀子也不算险棋。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.2962} 看来他们还是划中了你一刀。让我看看伤口。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.28672} 不用。只是擦破点皮。“血又不是威士忌，刀子也不算险棋。”
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.24790} 但败血症可以……很麻烦。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.2539} 那些打手，他们走了？你把他们赶跑了？怎么做到的？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.53806} 血不是威士忌，这在医学上说得通，但后半句我很怀疑。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.52724} 跳蚤那句我懂，可你母亲跟医生有什么仇？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.14224} 这就是个说法，别想太多。要是我说我要去打四十个盹儿，你是不是还要站旁边一个个数？见鬼，随便吧。你来干什么？你也看见了，我有点漏水。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.42624} 让我看看。我们得先止血。
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.36817} 我救了你的命，就换来这句谢？
{Dialogs2.Days.Day4.Day4_Q1_RescueGrif.Day4_Q1_Grief_CapitalWoman.51919} 就不能让人喘口气，是吧？我肋边开了个洞，你倒要我把谢意装在瓷盘里端上来？俗话说，做好事只会换来坏疽。话说回来，你到底怎么把那帮打手赶走的？
