{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.10581} 我们该逃离镇子！或者干脆逃出这个国家！
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.22243} 什么？你疯了吗？
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.17139} 我不知道，可我妈妈总这么说。而且熊永远不会原谅我们弄丢米什卡。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.21512} 哦，对。那就说明我们必须逃跑。我们要流浪到死……
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.30015} 好哇！我一直梦想在流浪世界的时候死掉！
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.3200} 取消逃亡。米什卡找到了，她没事。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.18417} 哦……好……
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.4714} 别听起来这么失望。你真的那么想逃跑吗？
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.21759} 米什卡总是惹麻烦：一会儿丢了，一会儿又找到了。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.782} 你说得对。你自己去告诉她吧。她坐在水塔上。她让我放她下来，但我把她留在那里，让她想想自己干了什么。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.10908} 我把她从水塔上接下来了。她很快就会到，你们可以把一切告诉她。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.9698} 哇，你真是个小戏精，姑娘。我倒想看看你怎么离开小镇。能带上我吗？我也想逃跑。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.4034} 当然带你，先生！逃跑不需要太多东西：几片烤面包、水，还有我的弹弓。它在我的秘密藏货点——没有它我不能走！我们拿到弹弓，我就准备好了。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.17856} 你们没想过直接向熊坦白吗？他的怒气真有那么可怕，以至于逃跑比道歉更容易？
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.1895} 哦，不！熊是世界上最好的熊！可我讨厌他难过。如果我们告诉他米什卡不见了，他会更难过。都是我们的错……
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.6762} 一切都没事，别担心。米什卡找到了，她很好。她只是坐在水塔上。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.22780} 你多大？七岁？十岁？已经想用逃跑来解决一切了。我小时候也一样，而且后来也没离那条路太远。或者说，没跑得太远。
{Dialogs2.Days.Day4.Day4_Q6_PatientFromAbattoir.Day4_Q6_Kids_MishkaFound.29650} 你为什么不跟我们一起走？一起逃跑吧！逃离你的旧生活和麻烦！我们做游牧民，抢商队！
