{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.24552} 站住！来者何人？把头抬起来，看着我们！口令是什么？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.2936} 赫奇提·费奇提坐在管道上；\n赫奇提·费奇提闻起来有点发酵！\n国王的蟋蟀和国王的大鹅，\n也赶不走赫奇提身上湿奶酪的味道！\n\n现在说口令吧，老家伙！
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.21163} 这个版本我倒没听过。口令是“大鹅”吗？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.1486} 哈！错啦！是“蟋蟀”。现在这根管子上就有一只！你听不见它叫吗？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.5233} 不，我听不见。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.35362} 那就对了，老爷爷。你们这些老古董都快聋了，我见过老人把大金属喇叭塞到耳朵边；也许你也该试试，省得丢人现眼？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.62941} 我听你说话听得很清楚，男孩。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.27385} 我才二十八岁。我想对小孩来说，这大概已经很老了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.55936} 哇，那你怎么还走得动？更别说你头顶上那块秃斑了……
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.19529} 别胡说。我没有秃斑。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.29740} 现在还没有。但你会有的！我从这里什么都看得见，连未来都看得见。你会把头发梳过去盖住秃块，还往皱纹上扑粉，像殡仪馆里业余表演一样。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.45687} 你的想象力可真活跃。要是你从那根管子上掉下来，就太可惜了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.26004} 我才不——会！而且我从这里能看到特别伟大的未来。所有大人都死于瘟疫，我们统治小镇！
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.8104} 我觉得你并不明白瘟疫是什么。它也会杀死孩子。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.16758} 哦，你觉得自己可聪明了，是吧？<i>你</i>怎么知道？你是医生还是什么？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.29925} 我们不需要再来一个。我们已经有锅炉医生人了。锅炉房的炉子坏了，可他修好了！今天它又坏了……
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.26133} 他叫什么？鲁宾？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.53898} 锅炉人不需要名字，只需要炉膛里的煤和手上的煤灰！
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.38063} 还需要一根火钩当心脏！
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.22274} 也许我该去当锅炉人。听起来比现在这个职业没那么绝望。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.64378} 我们的锅炉人也不太可靠。一开始还让火烧着，现在全都冷下来了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Children_Main.35954} 你抱怨什么？你占了上面最好的位置，现在又说冷！那我们换换吧；我不怕冷。锅炉人迟早会想起火钩是干什么用的。
