{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.194} 嘿，锯骨头的，是你吗？你就是那个大城市来的锯骨头？我是说，医生。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.55846} ……是的。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.9273} 别担心，我对你身上叮当响的东西没兴趣，不值当惹麻烦。你就直说吧，医生：我染疫了吗？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.47081} 要是所有像你这样打扮的先生都来问诊，而不是盯着我的钱包，那就好了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.14105} 我是认真的！也害怕。对锯骨头的，呃，对医生承认害怕，应该没问题吧？\n自从我知道我的库兰死了，我就吓得魂都没了。那东西五个小时就要了她的命，而她又年轻又强壮。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.1376} 你说的是你的妻子，还是你的女儿？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.35316} 她是族民，我怎么能娶她？或者说，曾经是。她离开了族人，却仍夹在小镇和草原之间。\n\n我想着，也许我故意跟她吵一架，她就会回到同族那里，不再遭这种命……现在太迟了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.39814} 是的，我已经听过草原人不会染疫这种说法。但我怀疑那只是荒唐故事。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.50845} 可怜的人，真惨……不过我不想死。你就直说吧，医生：我很快也会跟着库兰去吗？我该准备面包和牛奶了吗？还是它能放过我？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.14741} 所以你怀疑你的情人可能传染了你？这并非不可能。你最后一次见她是什么时候？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.44369} 前天……早上。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.11549} 她什么时候死的？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.1233} 昨天。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.9100} 我对这场瘟疫了解还很少。但从它的发展来看，感染后不可能撑过一天。如果你被感染了，你现在就不会站在这里。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.5870} 你确定？
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.33595} 想想疫情两天前爆发以来已经死了多少人。病程显然发展得很快。我会说潜伏期大约是五到八小时。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.42965} 哦，你可帮了我大忙！可怜的库兰昨天才结束痛苦。她来找我还在那之前……你的账算得对，锯——医生！抱歉，我该尊重你。\n\n照你这么算，我不可能是从她那里染上的。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.30465} 也许不是从库兰那里，而是从别人那里，甚至是半小时前刚见过的人。很容易。先别急着庆祝。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.62250} 如果五小时就能把一个人像蜡烛一样烧光，那就明摆着了。我一直想不通：她来找我的时候还很健康，只是跳了一夜舞，腿有点软。然后突然，砰，死于瘟疫，就这么没了。\n这就说明死亡是怎么偷偷摸上来的，坏透了，像巷子里的扒手……
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.36332} 任何死亡都是恶的。而死亡本身嵌在人性之中，这一点更加恶劣。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.62466} 你这些话可真响亮！在这穷乡僻壤里铿锵作响，像警钟，或者炮声。它们和这里的景色不搭，就像你一样。\n\n我能帮你什么吗，医生？你看起来像刚出生的婴儿一样迷路了。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.30619} 我迷路了？嗯。也许你能帮忙：我在找一位名叫鲁宾的医生。
{Dialogs2.Days.Day5.Day5_Q1_RubinDeath.Day5_Q1_Groom_DeadBride.51398} 我要是知道他在哪儿，早就拿我的瘟疫问题去找他了！他见过上一次疫情，还是布拉赫，也就是伊西多尔的学徒。可他不见了，消失得像被大地吞了一样。你觉得他就在仓库区？见鬼……
