{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.14006} 我听不懂你。说我的语言。别装作你不知道。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.1182} 我还什么都没说。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.48225} 女主人行事时，谁敢张嘴插话？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.58729} 丹尼尔·丹科夫斯基，医学学士。愿为您效劳。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.25497} ……恩-丹尼尔。别挖苦我，我还不至于五天就把你忘了。像你这样的人，是忘不掉的。\n\n我方才只是太专注于那场对话。你突然出声，叫我一时失了防备，仅此而已。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.6373} “恩-丹尼尔”？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.42248} 这是敬称。表示尊重。别试我的耐心。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.31212} 好吧，是我打断了你。你刚才正在和谁说话……？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.50793} 你刚才是在和谁说话？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.54637} 哦，当然是和这房子！\n\n可后躯区不是我们凯恩家建的。而这栋房子，是这片地方最古老的房子之一。它不懂我——或者说，它<i>假装</i>不懂！我恨伪君子！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.56376} ……这是比喻？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.47423} 他们已经向你解释过了，不是吗？我们这些女主人，能以普通人无法企及的方式感知某些事物。\n\n西蒙叔叔的手留下的痕迹还滞留在这栋房子里。就在这里，很近，还带着温度……我能感觉到……可门锁着，又坏了，这房子什么都不肯平白给我！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.18627} 真混账。喂，你这堆无机物！立刻回答！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.28672} 只有对你来说它才是无机物。我母亲走过的地方，鹅卵石会唱歌，路灯会起舞。我继承了这份天赋。\n\n我想你永远都理解不了。我原谅你。但嘲笑自己不懂的东西，是懦夫心智的表现。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.13150} 骗术本来就该被嘲笑。笑声是最危险的武器。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.64365} 难怪你在镇上待了这么多天，唯一做到的事就是把我的家人都得罪光。而你对西蒙的事，什么都没弄懂。\n\n我现在仍能感觉到他留在这栋房子里的温热痕迹。要是你连这都不能认真对待，那父亲和乔治叔叔对你的判断就是对的。出去。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.61964} 不，等等。世上确实有许多神秘之事。我相信……你这些诗意言辞背后，确有某种现实。请帮我理解。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.16993} 这房子里留着西蒙的痕迹？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.26110} 你原谅我……因为房子不会向我歌唱。真是宽宏大量。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.22373} 你说得大体不错。所以，这房子到底是怎么回事？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.20191} 西蒙叔叔的手留下的痕迹还滞留在这栋房子里。就在这里，很近，还带着温度……我能感觉到……可门锁着，又坏了，这房子什么都不肯平白给我！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.29177} 他手的痕迹？你是指指纹，还是又一个比喻？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.56447} 我不知道……\n\n叔叔和伊西多尔·布拉赫是极亲近的朋友。又或者是宿敌——真正的友谊与竞争，本就难分彼此。而我仍能感觉到他的生命在这栋房子里暗暗闷烧。也许在某件物品里，也许在一段活着的记忆里……也许，甚至他本人就在那里！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.60383} 西蒙还活着，而且躲起来了？……不。我不信自己会有这样的好运。不过……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.29415} ……哦，算了……反正已经不重要了。我做的事很蠢。你做的事——更蠢！
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.55173} 一小时前我也这么想。但如果西蒙留下了某种痕迹，不管是什么……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.46449} 重点不在这里，恩-丹尼尔。西蒙叔叔的痕迹留在这栋房子里，也留在整座小镇里……留在多面体里，留在人身上，甚至留在街道的布局里。伟大之人不会死；他们只会碎散成无数倒影。\n\n可我们这些可怜的后人，再也无法把它们重新拼回，因为明天不会到来。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.5848} 市政厅里那群人也这么想，可我们已经冲出来了。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.20848} 我们会被一堵堵散发臭气的尸墙活活闷死。Shabnak（泥魔女）会吞掉我们的明天。今晚你睡下时，呼吸暂停的恶魔会伏到你身上，你会僵在那里，永远盯着天花板。我不知道，哦，我不知道！\n\n我做了一个梦。我看见镇上所有日历都停在数字五上。明天不会来。它不会来……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.24126} Shabnak（泥魔女）……这会是个令人惊讶的坦白，可我走近这栋房子时……我想我也看见她了？某种怪物，就在附近……
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.26074} 你看见了Shabnak（泥魔女）？<i>你，</i>恩-丹尼尔？
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.8919} 是女人，还是怪物……我没看清。在这瘟疫横流的地狱里，本来也看不清什么。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.36919} 在我们这穷乡僻壤，大地有时会吐出最古怪的生灵。你居然还有足够清明的神志去看见她，我倒惊讶。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.42716} 不是清明，是混沌。那显然是幻觉。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.4381} 她没出现在我的梦里，但那说明不了什么。她不爱进入我的梦。我的梦属于更高的界域，它们向上攀升——泥胎孽种和鼠盗贼在那儿待不自在。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.1648} 又是预言梦？……不过我现在倒也没资格抱怨。
{Dialogs2.Days.Day5.Day5_Q3_TownDeath.Day5_Q3_Maria_TownPerishing.46094} 要是<i>你</i>都惊讶，那你想想我得有多惊讶！
