{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.2940} 什么困扰着您，阁下？您的一天结束了。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.21872} 这是什么地方？我在哪？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.51958} 问得公允。你的凡人躯体躺在地上；一颗子弹在头颅里。你的血肉之外的自我……无处可在。\n\n你身在深渊上方的摇篮里；在漆黑时间的滴答指针间，一缕孱弱的光。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.29218} ……能说得更具体点吗？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.58469} 我刚刚<i>开枪自杀</i>。为什么我们还能说话？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.13876} 你站在一间镜室里。看：一面玻璃里，你开枪自杀；更多玻璃里，你的生命还在继续。这里允许人从可能性中选择。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.25367} 我不明白。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.54038} 你可以选择那个开枪自杀的自己，在那里结束你的故事。也可以选择违抗死亡，再试一次。你在活人世界里的事还没完成，对吧？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.15429} 我在找……西蒙。但我失败了。我不够撑起这一切。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.62210} 那就让我们说，你没有开枪自杀；要做的事还太多，而你还不够。你的目标会把你拽回生命，像一只钩在脸颊里的鱼钩。若你太早离去，还有谁来承担这份重担？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.21122} 多么不幸的比喻！咬钩的鱼，命运就是被开膛破肚，做成一碗ukha（鱼汤）。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.10335} Ukha（鱼汤），阁下？那是什么？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.1455} 算了。你说我可以回去？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.26962} 回去？在这里，你的行为尚未完成；你的所在仍未确定。你是躺在地上流血的身体？还是仍在静水观星台凝视一座钟？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.48251} 我忘了你不是人，不会知道。那是鱼汤。很好喝，尤其汤里加点伏特加……天，我饿了。
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.6289} 真奇怪；来这里的人通常抱怨的是<i>口渴</i>。\n\n你在这里，是因为你无法决定自己的命运。你是躺在地上流血的身体？还是仍在静水观星台凝视一座钟？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.56484} 你是谁？为什么我能看见……像你们这样的存在？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.20373} 这重要吗？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.1615} 重要，出于诊断目的。如果只有我能看见你们，而我又没疯，那我有什么特殊之处？你们为什么偏偏跟着我？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.62375} 问题仍然是，谁跟着谁。我从不离开这里；而你是第一次到访。\n\n你当下的命运仍不明朗。你是躺在地上流血的身体？还是仍在静水观星台凝视一座钟？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.64599} 那座钟呢？它有什么特别吗？
{Dialogs2.Days.Day5.Day5_Q5.1_TimeTravelTutorial.Day5_Q5.1_Shadows_TimeTravel.37014} 不算。我只是好奇。
