{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.50492} 医者？你不该把时间浪费在我身上……
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.33514} 请让我<i>自己</i>决定该怎么花我的时间。别忘了，这还是在我自己的医院里。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.33362} 你得明白，我的身体不需要医治……病的是我的<i>灵魂</i>，身体只是其次。我在垃圾堆里住了好多年。已经不可能更糟了。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.3576} 这位先生，根据检测结果，你得的是瘟疫。这件事没有讨论余地。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.64014} 真可惜……你的眼睛很锐利，可你的心却聋了。你根本听不见我的苦楚。可<i>她</i>听见了。她一开口就说：“折磨你的是你的罪，所以你才会虚弱，博博克。”\n\n她把我的每一桩恶行都说得出来。什么都瞒不过她。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.14911} 你说的是谁？是不是有人在劝你别来接受医疗？
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.8504} 那个奇迹女孩。但她不是在劝我别来！她是个诚实人——她给了我选择。\n\n她说，被科学魅力迷住的人，是治不好自己灵魂的；而身体正是因为灵魂才受苦。她还说，就算他们真的用科学把你勉强缝补好了，你很快也会顺着针脚重新裂开。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.51287} “被科学魅力迷住。”人们可真是什么都说得出口！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.25490} 我们说点实在的：你真的治好过哪怕<i>一个人</i>的沙疫吗？等你晚上离开以后，这里剩下的病人又会怎么样？
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.18326} 还没有。<i>暂时没有。</i>但我正在试，我正在找办法！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.55359} 可那姑娘从人身上抽走痛苦的本事，连手术刀都比不上。我见过她这么做，不过……嗯，别人比我更需要。反正我这辈子都在忍，再多忍几天也不算什么。别人可没这么能扛……他们不习惯这种痛。\n\n可后来你那些护理员架着我的胳膊，把我带到这儿来了。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.45234} 丹科夫斯基医生，那个，嗯，<i>博博克先生，</i>请原谅……我能借这位医生一会儿吗？就一下。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.51420} 可以。反正我们这番话也一直在原地打转……我正好也需要透口气。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.5284} 我们的病人——那些没救了的——正在受罪。疼得他们整夜都睡不着。昨晚我给其中一个人多打了吗啡，超过了剂量，因为他看起来实在太可怜了——现在其他人也都在要！\n\n我们该限量吗？还是不该？我知道每一小瓶都珍贵，可他们也是活生生的人，而且他们在痛……
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.62800} 当然要限量。你自己都说了，那些病人已经没救了。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.53932} 明白了，医生……病人先生！博博克，你要往<i>哪儿</i>去？！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.14731} 你真的不该把时间浪费在我身上……
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.26632} 这是怎么回事？你病得不轻！<i>站住！</i>
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.42121} 他刚刚就这么跑了？那个圣愚？我才<i>一转眼</i>……
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.17679} 哦，医生……这都怪我。是我把你岔开了！现在谁也找不到他了——他是个流浪汉，这城里的每个角落缝隙他都知道。我们的护理员根本追不上。求你了，原谅我。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.46688} 所以<i>这就是</i>你不该拿每一件鸡毛蒜皮的小事都来烦上司的原因，小家伙。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.58141} 哦，这可糟了……今天的疫苗没有他我们该怎么做？你觉得另外<i>两个</i>有其他疾病、而且瘟疫症状较轻的病人就够了吗？还是说非得三个不可？
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.12905} 我不知道。我们现在只能祈祷——要么两个就够，要么护理员能把那个逃跑的病人抓回来。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.63023} 如果来了第三个合并其他疾病的病人，立刻通知我。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.11250} 他跑掉，是因为他信了那套“该治的是灵魂，不是身体”的鬼话。你们这座城里，十成里有九成都是迷信！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.24392} 也许昨天我们就该让克拉拉进医院。她倒是能把这些圣愚说得耳朵起茧，把他们留在这儿。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.16303} 他看起来也没那么利索……也许护理员还能追上他？
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.54220} ……我还是不发表评论了。不然我就要开始骂人了。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.18435} 护理员！你们还愣着干什么？立刻把那个病人给我带回医院！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.21350} 小家伙，我求你了：请你早点学会自己做决定！
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.44134} 快点说。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.45654} 没错，我还没治好过任何人的沙疫。但如果我正确找出一个人的第二诊断，我就能针对它开出治疗方案。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.11353} 现在来评价我的工作毫无意义——医院才刚运转两天。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.13937} 你的脑子里被灌满了胡话。医院会给你所有你需要的帮助。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.30830} 你那个“奇迹女孩”有一点说对了：我不治疗人的灵魂。
{Dialogs2.Days.Day5.Day5_Q6_GodsFool.Day5_Q6_NoMoreTreatment.47179} 我想我知道那个科学之敌是谁。我没让她进医院，所以她现在跑到街上布道去了，是吗？
