{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.2940} 什么困扰着您，阁下？您的一天结束了。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.21872} 这是什么地方？我在哪？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.51958} 问得公允。你的凡人躯体躺在地上；一颗子弹在头颅里。你的血肉之外的自我……无处可在。\n\n你身在深渊上方的摇篮里；在漆黑时间的滴答指针间，一缕孱弱的光。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.29218} ……能说得更具体点吗？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.58469} 我刚刚<i>开枪自杀</i>。为什么我们还能说话？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.13876} 你站在一间镜室里。看：一面玻璃里，你开枪自杀；更多玻璃里，你的生命还在继续。这里允许人从可能性中选择。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.44740} 我不明白。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.13457} 你可以选择那个开枪自杀的自己，在那里结束你的故事。也可以选择违抗死亡，再试一次。你在活人世界里的事还没完成，对吧？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.27679} 我在找……西蒙。但我失败了。我不够撑起这一切。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.61462} 那就让我们说，你没有开枪自杀；要做的事还太多，而你还不够。你的目标会把你拽回生命，像一只钩在脸颊里的鱼钩。若你太早离去，还有谁来承担这份重担？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.16455} 多么不幸的比喻！咬钩的鱼，命运就是被开膛破肚，做成一碗ukha（鱼汤）。
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.59691} “ukha（鱼汤）”，阁下？那是什么？
{Dialogs2.Days.Day5.Demo.Day5_Q5.1_DEMOShadows_TimeTravel.56477} 算了。你说我可以回去？
