{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.30691} 你看起来很慌，学者。发生什么事了？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.29666} 你到底是谁？你在这里干什么？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.17685} 如果你看得见眼前的东西，你早该知道我是谁。两天前，我坐在医院的台阶上等你。我想帮忙。你从我身边走过去，就像我不存在。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.30762} 这没有回答我的问题。你是谁？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.19697} 我是克拉拉，我能治愈人。可你现在一定也猜到了。你的医院已经不需要了，医者。人们都健康了。我治好了他们。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.31206} 哦，所以你就是病人们说的“圣克拉拉”？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.27099} 我是。只不过他们已经不是病人了。我治好了他们。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.10354} 好吧，那我等着。他们明天再病起来，就会回来。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.17009} 真可悲。犬儒像虫一样钻穿了你的灵魂，医者。现在什么都不剩了。你若不相信人能被治好，又怎么治人？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.3283} 病人的健康不取决于医生的信念，而取决于他的知识和技术。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.20381} 这就是你的问题，医者。你根本不在乎人。你感兴趣的只有诊断。也许这就是病人讨厌你的原因？你上一次表现出怜悯是什么时候，上一次安慰别人是什么时候？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9055} 我关心的是病人的健康，不是他们的心情。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9518} 看看那些人。到广场上来，就看着他们。他们健康了。他们活着。这不才是重要的吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.7650} 你到底有没有听我说？我刚刚才告诉你为什么不是！
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.19204} 让我理清楚。两天前，你在等我，我没有跟你说话，于是你受了这么大冒犯，就决定破坏医院的工作。是这样吗？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.24817} 你决定不寻找妥协。所以我也没有。我只是自己救了所有人。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.22725} 灾难。但我怎么可能预料到这个！谁能想到人们会像羊群一样跟着一个女骗子……
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.24064} 该死……好吧。如果本地居民没有女巫在房间里就不愿意接受治疗，那你留下。让他们安静下来。但医院必须恢复正常。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.32335} 太晚了，医者。你有过妥协的机会。你没有，所以我也没有。我只是自己救了所有人。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.22981} 所以我只要两天前跟你说句话，这一切就都不会发生？我懂了。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.2048} 我也有个问题。假设你治好了他们，明天他们又病了。你再治，他们又再病。这么多人，而你只有两只手。没有疫苗，治愈是没有用的。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.8686} 光治好人还不够。我需要病人来研制疫苗。需要理解他们的病究竟是什么。如果今天治好他们，明天他们又病了，又回到病床上，那有什么意义？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.7778} 所以就因为我两天前没跟你说话，你就在医院煽动叛乱？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.19071} 谁让你进来的？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.29196} 我从没请求过允许。我只是来了。因为人们在哭着求救。他们信任我。不信任你。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.21324} 我该在入口安排警卫。这医院简直成了公共通道。你到底对他们说了什么，能让他们全散了？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.47} 我让他们睁开了眼。我告诉他们，你是在研究他们，不是在治愈他们。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.8299} 你知道医学是科学，对吧？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.8463} 犬儒像虫一样钻穿了你的灵魂，医者。现在什么都不剩了。你若不相信人能被治好，又怎么治人？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.5175} 明白了。愚蠢，但可以预料。我等着。他们明天再病起来，就会回来。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.5387} 真可悲。犬儒像虫一样钻穿了你的灵魂，医者。现在什么都不剩了。你若不相信人能被治好，又怎么治人？
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.9620} 如果你懂一点医学，你就该知道：医生的信念和病人的健康没有关系。重要的是准确诊断。
{Dialogs2.Days.Day6.Day6_Q0_ChangelingCult.Day6_Q0_Changeling_NoMoreHospital.16586} 人都去哪儿了？病人呢？
